character,dataset_id,row_id,parent_id,parent_field,source_order,template_id
luna,character_anim,animation_luna,@character_anim,\N,0,animation_characters_format_01
chris,character_anim,animation_chris,@character_anim,\N,1,animation_characters_format_01
port,character_anim,animation_port,@character_anim,\N,2,animation_characters_format_01
bubi,character_anim,animation_bubi,@character_anim,\N,3,animation_characters_format_01
aili,character_anim,animation_aili,@character_anim,\N,4,animation_characters_format_01
samho,character_anim,animation_samho,@character_anim,\N,5,animation_characters_format_01
tom,character_anim,animation_tom,@character_anim,\N,6,animation_characters_format_01
haru,character_anim,animation_haru,@character_anim,\N,7,animation_characters_format_01
sunha,character_anim,animation_sunha,@character_anim,\N,8,animation_characters_format_01
hina,character_anim,animation_hina,@character_anim,\N,9,animation_characters_format_01
shiba,character_anim,animation_shiba,@character_anim,\N,10,animation_characters_format_01
rios,character_anim,animation_rios,@character_anim,\N,11,animation_characters_format_01
volts,character_anim,animation_volts,@character_anim,\N,12,animation_characters_format_01
yuna,character_anim,animation_yuna,@character_anim,\N,13,animation_characters_format_01
soldier,character_anim,animation_soldier,@character_anim,\N,14,animation_characters_format_01
common,character_anim,animation_common,@character_anim,\N,15,animation_characters_format_01
street_citizen_a,character_anim,animation_street_citizen_a,@character_anim,\N,16,animation_characters_format_01
street_citizen_b,character_anim,animation_street_citizen_b,@character_anim,\N,17,animation_characters_format_01
street_citizen_c,character_anim,animation_street_citizen_c,@character_anim,\N,18,animation_characters_format_01
street_citizen_d,character_anim,animation_street_citizen_d,@character_anim,\N,19,animation_characters_format_01
luna,expressions,legacy_animation_luna,@expressions,\N,0,animation_characters_format_01
chris,expressions,legacy_animation_chris,@expressions,\N,1,animation_characters_format_01
port,expressions,legacy_animation_port,@expressions,\N,2,animation_characters_format_01
bubi,expressions,legacy_animation_bubi,@expressions,\N,3,animation_characters_format_01
aili,expressions,legacy_animation_aili,@expressions,\N,4,animation_characters_format_01
samho,expressions,legacy_animation_samho,@expressions,\N,5,animation_characters_format_01
tom,expressions,legacy_animation_tom,@expressions,\N,6,animation_characters_format_01
haru,expressions,legacy_animation_haru,@expressions,\N,7,animation_characters_format_01
sunha,expressions,legacy_animation_sunha,@expressions,\N,8,animation_characters_format_01
hina,expressions,legacy_animation_hina,@expressions,\N,9,animation_characters_format_01
shiba,expressions,legacy_animation_shiba,@expressions,\N,10,animation_characters_format_01
rios,expressions,legacy_animation_rios,@expressions,\N,11,animation_characters_format_01
volts,expressions,legacy_animation_volts,@expressions,\N,12,animation_characters_format_01
yuna,expressions,legacy_animation_yuna,@expressions,\N,13,animation_characters_format_01
soldier,expressions,legacy_animation_soldier,@expressions,\N,14,animation_characters_format_01
vendor,expressions,legacy_animation_vendor,@expressions,\N,15,animation_characters_format_01
common,expressions,legacy_animation_common,@expressions,\N,16,animation_characters_format_01
