context,value,dataset_id,row_id,parent_id,parent_field,source_order,template_id
aili,default,characters,character_expressions_aili_default,characters_aili,expressions,0,character_expressions_format_01
aili,success,characters,character_expressions_aili_success,characters_aili,expressions,1,character_expressions_format_01
aili,fail,characters,character_expressions_aili_fail,characters_aili,expressions,2,character_expressions_format_01
aili,joy,characters,character_expressions_aili_joy,characters_aili,expressions,3,character_expressions_format_01
bubi,default,characters,character_expressions_bubi_default,characters_bubi,expressions,0,character_expressions_format_01
chris,default,characters,character_expressions_chris_default,characters_chris,expressions,0,character_expressions_format_01
chris,success,characters,character_expressions_chris_success,characters_chris,expressions,1,character_expressions_format_01
chris,fail,characters,character_expressions_chris_fail,characters_chris,expressions,2,character_expressions_format_01
haru,default,characters,character_expressions_haru_default,characters_haru,expressions,0,character_expressions_format_01
haru,sad,characters,character_expressions_haru_sad,characters_haru,expressions,1,character_expressions_format_01
hina,default,characters,character_expressions_hina_default,characters_hina,expressions,0,character_expressions_format_01
hound,default,characters,character_expressions_hound_default,characters_hound,expressions,0,character_expressions_format_01
luna,default,characters,character_expressions_luna_default,characters_luna,expressions,0,character_expressions_format_01
port,default,characters,character_expressions_port_default,characters_port,expressions,0,character_expressions_format_01
port,anger,characters,character_expressions_port_anger,characters_port,expressions,1,character_expressions_format_01
port,joy,characters,character_expressions_port_joy,characters_port,expressions,2,character_expressions_format_01
port,serious,characters,character_expressions_port_serious,characters_port,expressions,3,character_expressions_format_01
port,event_surprise,characters,character_expressions_port_event_surprise,characters_port,expressions,4,character_expressions_format_01
radio,default,characters,character_expressions_radio_default,characters_radio,expressions,0,character_expressions_format_01
rios,default,characters,character_expressions_rios_default,characters_rios,expressions,0,character_expressions_format_01
samho,default,characters,character_expressions_samho_default,characters_samho,expressions,0,character_expressions_format_01
samho,success,characters,character_expressions_samho_success,characters_samho,expressions,1,character_expressions_format_01
samho,fail,characters,character_expressions_samho_fail,characters_samho,expressions,2,character_expressions_format_01
samho,drunk,characters,character_expressions_samho_drunk,characters_samho,expressions,3,character_expressions_format_01
shiba,default,characters,character_expressions_shiba_default,characters_shiba,expressions,0,character_expressions_format_01
soldier,default,characters,character_expressions_soldier_default,characters_soldier,expressions,0,character_expressions_format_01
street_citizen_a,default,characters,character_expressions_street_citizen_a_default,characters_street_citizen_a,expressions,0,character_expressions_format_01
street_citizen_b,default,characters,character_expressions_street_citizen_b_default,characters_street_citizen_b,expressions,0,character_expressions_format_01
street_citizen_c,default,characters,character_expressions_street_citizen_c_default,characters_street_citizen_c,expressions,0,character_expressions_format_01
street_citizen_d,default,characters,character_expressions_street_citizen_d_default,characters_street_citizen_d,expressions,0,character_expressions_format_01
sunha,default,characters,character_expressions_sunha_default,characters_sunha,expressions,0,character_expressions_format_01
sunha,serious,characters,character_expressions_sunha_serious,characters_sunha,expressions,1,character_expressions_format_01
tom,default,characters,character_expressions_tom_default,characters_tom,expressions,0,character_expressions_format_01
tom,serious,characters,character_expressions_tom_serious,characters_tom,expressions,1,character_expressions_format_01
volts,default,characters,character_expressions_volts_default,characters_volts,expressions,0,character_expressions_format_01
yuna,default,characters,character_expressions_yuna_default,characters_yuna,expressions,0,character_expressions_format_01
