context,part,clip,loop,dataset_id,row_id,parent_id,parent_field,source_order,template_id
aili/default,eyes,aili_eyes_default,always,character_anim,expression_parts_aili_default_eyes,expressions_aili_default,parts,0,expression_parts_format_01
aili/default,eyebrows,aili_eyebrows_default,always,character_anim,expression_parts_aili_default_eyebrows,expressions_aili_default,parts,1,expression_parts_format_01
aili/default,upper_face,aili_upper_face_default,always,character_anim,expression_parts_aili_default_upper_face,expressions_aili_default,parts,2,expression_parts_format_01
aili/default,lower_face,aili_lower_face_default,always_on_dialogue,character_anim,expression_parts_aili_default_lower_face,expressions_aili_default,parts,3,expression_parts_format_01
aili/default,body,aili_body_default,always,character_anim,expression_parts_aili_default_body,expressions_aili_default,parts,4,expression_parts_format_01
bubi/default,eyes,bubi_eyes_default,always,character_anim,expression_parts_bubi_default_eyes,expressions_bubi_default,parts,0,expression_parts_format_01
bubi/default,upper_face,bubi_upper_face_default,always,character_anim,expression_parts_bubi_default_upper_face,expressions_bubi_default,parts,1,expression_parts_format_01
bubi/default,lower_face,bubi_lower_face_default,always_on_dialogue,character_anim,expression_parts_bubi_default_lower_face,expressions_bubi_default,parts,2,expression_parts_format_01
bubi/default,body,bubi_body_default,always,character_anim,expression_parts_bubi_default_body,expressions_bubi_default,parts,3,expression_parts_format_01
chris/default,eyes,chris_eyes_default,always,character_anim,expression_parts_chris_default_eyes,expressions_chris_default,parts,0,expression_parts_format_01
chris/default,eyebrows,chris_eyebrows_default,always,character_anim,expression_parts_chris_default_eyebrows,expressions_chris_default,parts,1,expression_parts_format_01
chris/default,upper_face,chris_upper_face_default,always,character_anim,expression_parts_chris_default_upper_face,expressions_chris_default,parts,2,expression_parts_format_01
chris/default,lower_face,chris_lower_face_default,always_on_dialogue,character_anim,expression_parts_chris_default_lower_face,expressions_chris_default,parts,3,expression_parts_format_01
chris/default,body,chris_body_default,always,character_anim,expression_parts_chris_default_body,expressions_chris_default,parts,4,expression_parts_format_01
luna/default,eyes,luna_eyes_default,always,character_anim,expression_parts_luna_default_eyes,expressions_luna_default,parts,0,expression_parts_format_01
