context,expression,mode,sprite,talk_anim,dataset_id,row_id,parent_id,parent_field,source_order,template_id
aili,default,parts_anim,\N,true,character_anim,expressions_aili_default,animation_aili,value,0,expressions_format_01
aili,success,sprite,aili_success,false,character_anim,expressions_aili_success,animation_aili,value,1,expressions_format_02
aili,fail,sprite,aili_fail,false,character_anim,expressions_aili_fail,animation_aili,value,2,expressions_format_02
aili,joy,sprite,aili_joy,false,character_anim,expressions_aili_joy,animation_aili,value,3,expressions_format_02
bubi,default,parts_anim,\N,true,character_anim,expressions_bubi_default,animation_bubi,value,0,expressions_format_01
chris,default,parts_anim,\N,true,character_anim,expressions_chris_default,animation_chris,value,0,expressions_format_01
chris,success,sprite,chris_success,false,character_anim,expressions_chris_success,animation_chris,value,1,expressions_format_02
chris,fail,sprite,chris_fail,false,character_anim,expressions_chris_fail,animation_chris,value,2,expressions_format_02
common,default,sprite,guest_default,false,character_anim,expressions_common_default,animation_common,value,0,expressions_format_02
common,joy,sprite,guest_joy,false,character_anim,expressions_common_joy,animation_common,value,1,expressions_format_02
common,sadness,sprite,guest_sadness,false,character_anim,expressions_common_sadness,animation_common,value,2,expressions_format_02
common,anger,sprite,guest_anger,false,character_anim,expressions_common_anger,animation_common,value,3,expressions_format_02
common,surprise,sprite,guest_surprise,false,character_anim,expressions_common_surprise,animation_common,value,4,expressions_format_02
common,fear,sprite,guest_fear,false,character_anim,expressions_common_fear,animation_common,value,5,expressions_format_02
common,annoyingB,sprite,guest_annoyingB,false,character_anim,expressions_common_annoyingB,animation_common,value,6,expressions_format_02
common,annoyingR,sprite,guest_annoyingR,false,character_anim,expressions_common_annoyingR,animation_common,value,7,expressions_format_02
haru,default,sprite,haru_default,false,character_anim,expressions_haru_default,animation_haru,value,0,expressions_format_02
haru,sad,sprite,haru_sad,false,character_anim,expressions_haru_sad,animation_haru,value,1,expressions_format_02
hina,default,sprite,hina_default,false,character_anim,expressions_hina_default,animation_hina,value,0,expressions_format_02
luna,default,parts_anim,\N,true,character_anim,expressions_luna_default,animation_luna,value,0,expressions_format_01
port,default,parts_anim,\N,true,character_anim,expressions_port_default,animation_port,value,0,expressions_format_01
port,joy,parts_anim,\N,true,character_anim,expressions_port_joy,animation_port,value,1,expressions_format_01
port,serious,parts_anim,\N,true,character_anim,expressions_port_serious,animation_port,value,2,expressions_format_01
port,anger,parts_anim,\N,true,character_anim,expressions_port_anger,animation_port,value,3,expressions_format_01
port,event_surprise,sprite,port_surprise,false,character_anim,expressions_port_event_surprise,animation_port,value,4,expressions_format_02
rios,default,sprite,rios_default,false,character_anim,expressions_rios_default,animation_rios,value,0,expressions_format_02
samho,default,parts_anim,\N,true,character_anim,expressions_samho_default,animation_samho,value,0,expressions_format_01
samho,success,sprite,samho_success,false,character_anim,expressions_samho_success,animation_samho,value,1,expressions_format_02
samho,fail,sprite,samho_fail,false,character_anim,expressions_samho_fail,animation_samho,value,2,expressions_format_02
samho,drunk,sprite,samho_drunk,false,character_anim,expressions_samho_drunk,animation_samho,value,3,expressions_format_02
shiba,default,sprite,shiba_default,false,character_anim,expressions_shiba_default,animation_shiba,value,0,expressions_format_02
soldier,default,sprite,soldier_default,false,character_anim,expressions_soldier_default,animation_soldier,value,0,expressions_format_02
street_citizen_a,default,sprite,qa_street_citizen_a_default,false,character_anim,expressions_street_citizen_a_default,animation_street_citizen_a,value,0,expressions_format_02
street_citizen_b,default,sprite,qa_street_citizen_b_default,false,character_anim,expressions_street_citizen_b_default,animation_street_citizen_b,value,0,expressions_format_02
street_citizen_c,default,sprite,qa_street_citizen_c_default,false,character_anim,expressions_street_citizen_c_default,animation_street_citizen_c,value,0,expressions_format_02
street_citizen_d,default,sprite,qa_street_citizen_d_default,false,character_anim,expressions_street_citizen_d_default,animation_street_citizen_d,value,0,expressions_format_02
sunha,default,sprite,sunha_default,false,character_anim,expressions_sunha_default,animation_sunha,value,0,expressions_format_02
sunha,serious,sprite,sunha_serious,false,character_anim,expressions_sunha_serious,animation_sunha,value,1,expressions_format_02
tom,default,sprite,tom_default,false,character_anim,expressions_tom_default,animation_tom,value,0,expressions_format_02
tom,serious,sprite,tom_serious,false,character_anim,expressions_tom_serious,animation_tom,value,1,expressions_format_02
volts,default,sprite,volts_default,false,character_anim,expressions_volts_default,animation_volts,value,0,expressions_format_02
yuna,default,sprite,yuna_default,false,character_anim,expressions_yuna_default,animation_yuna,value,0,expressions_format_02
aili,default,parts_anim,\N,true,expressions,legacy_expressions_aili_default,legacy_animation_aili,value,0,expressions_format_01
aili,success,sprite,aili_success,false,expressions,legacy_expressions_aili_success,legacy_animation_aili,value,1,expressions_format_02
aili,fail,sprite,aili_fail,false,expressions,legacy_expressions_aili_fail,legacy_animation_aili,value,2,expressions_format_02
aili,joy,sprite,aili_joy,false,expressions,legacy_expressions_aili_joy,legacy_animation_aili,value,3,expressions_format_02
bubi,default,parts_anim,\N,true,expressions,legacy_expressions_bubi_default,legacy_animation_bubi,value,0,expressions_format_01
chris,default,parts_anim,\N,true,expressions,legacy_expressions_chris_default,legacy_animation_chris,value,0,expressions_format_01
chris,success,sprite,chris_success,false,expressions,legacy_expressions_chris_success,legacy_animation_chris,value,1,expressions_format_02
