character_id,action,resource_key,status,note,dataset_id,row_id,parent_id,parent_field,source_order,template_id
luna,idle,Ch/luna/luna_v2-idle_Sheet,OK,노멀맵·마스크 포함,field_anims,field_anims_field_animations_luna,@field_anims,\N,0,field_animations_format_01
luna,walk,Ch/luna/luna_v2_walk_Sheet,OK,\E,field_anims,field_anims_field_animations_luna_2,@field_anims,\N,1,field_animations_format_01
luna,run,Ch/luna/luna_v2-run_Sheet,OK,\E,field_anims,field_anims_field_animations_luna_3,@field_anims,\N,2,field_animations_format_01
luna,walk_w_cat,Ch/luna/luna_v2-walk_w_cat-Sheet,OK,부비 안고 걷기,field_anims,field_anims_field_animations_luna_4,@field_anims,\N,3,field_animations_format_01
samho,idle,Ch/3/samho-IDLE_Sheet,OK,\E,field_anims,field_anims_field_animations_samho,@field_anims,\N,4,field_animations_format_01
samho,idle_blink,Ch/3/samho-IDLE_BLINK_Sheet,OK,\E,field_anims,field_anims_field_animations_samho_2,@field_anims,\N,5,field_animations_format_01
samho,run,Ch/3/samho_RUN3_-Sheet,OK,day4 생존루트 — 꽃 들고 달려옴,field_anims,field_anims_field_animations_samho_3,@field_anims,\N,6,field_animations_format_01
samho,dead,Ch/3/SAMHO_DEAD-Sheet,OK,day4 사망 연출,field_anims,field_anims_field_animations_samho_4,@field_anims,\N,7,field_animations_format_01
samho,dead_opening,Ch/3/SAMHO_DEAD-OPNING-Sheet,OK,\E,field_anims,field_anims_field_animations_samho_5,@field_anims,\N,8,field_animations_format_01
bubi,idle,Ch/Bubi/cat_animation-Sheet,OK,거리 고양이 전신 표시·배회,field_anims,field_animations_bubi,@field_anims,\N,9,field_animations_format_01
shiba,idle,Ch/Shiba/shi_Bar-Sheet,OK,거리 NPC 겸용,field_anims,field_animations_shiba,@field_anims,\N,10,field_animations_format_01
yuna,raid_set,CutSceneLab/08.yuna_attack 등,OK,꿈 컷씬 — 습격 시퀀스 프레임에 포함,field_anims,field_animations_yuna,@field_anims,\N,11,field_animations_format_01
soldier,raid_set,CutSceneLab/04.soilder_idle,OK,꿈 컷씬,field_anims,field_animations_soldier,@field_anims,\N,12,field_animations_format_01
hound,raid_set,CutSceneLab/03·05·06·07 (hound_*),OK,"꿈 컷씬 — 하운드(캐릭터 시트엔 없음, 컷씬 전용)",field_anims,field_animations_hound,@field_anims,\N,13,field_animations_format_01
chris,idle,(미제작),신규필요,테라스 대화·day1 퇴근길 동행에 필요 — 대화를 초상만으로 처리하면 불필요(연출 결정 대기),field_anims,field_animations_chris,@field_anims,\N,14,field_animations_format_01
haru,idle,(미제작),신규필요,노말엔딩1 퇴근길 연출에 필요,field_anims,field_animations_haru,@field_anims,\N,15,field_animations_format_01
rios,idle,(미제작),신규필요,배드엔딩 엘리베이터 연출에 필요,field_anims,field_animations_rios,@field_anims,\N,16,field_animations_format_01
street_citizen_a,idle,QA/Street/citizen_a_idle,플레이스홀더,Day 99 NPC 대화 구현 검증용,field_anims,field_animations_street_citizen_a,@field_anims,\N,17,field_animations_format_01
street_citizen_b,idle,QA/Street/citizen_b_idle,플레이스홀더,Day 99 NPC 대화 구현 검증용,field_anims,field_animations_street_citizen_b,@field_anims,\N,18,field_animations_format_01
street_citizen_c,idle,QA/Street/citizen_c_idle,플레이스홀더,Day 99 NPC 독백 구현 검증용,field_anims,field_animations_street_citizen_c,@field_anims,\N,19,field_animations_format_01
street_citizen_d,idle,QA/Street/citizen_d_idle,플레이스홀더,Day 99 선택지 구현 검증용,field_anims,field_animations_street_citizen_d,@field_anims,\N,20,field_animations_format_01
