context,id,ko,en,category,dataset_id,row_id,parent_id,parent_field,source_order,template_id
bacardi,tangy,새콤한,Tangy,taste,cocktails,cocktail_tags_bacardi_tangy,cocktails_bacardi,tags,0,cocktail_tags_format_01
bacardi,classic,클래식,Classic,feel,cocktails,cocktail_tags_bacardi_classic,cocktails_bacardi,tags,1,cocktail_tags_format_01
blue_hawaii,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_blue_hawaii_sweet,cocktails_blue_hawaii,tags,0,cocktail_tags_format_01
blue_hawaii,tropical_fruit,열대과일,Tropical Fruit,taste,cocktails,cocktail_tags_blue_hawaii_tropical_fruit,cocktails_blue_hawaii,tags,1,cocktail_tags_format_01
blue_hawaii,bright,화사한,Bright,feel,cocktails,cocktail_tags_blue_hawaii_bright,cocktails_blue_hawaii,tags,2,cocktail_tags_format_01
blue_sapphire,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_blue_sapphire_sweet,cocktails_blue_sapphire,tags,0,cocktail_tags_format_01
blue_sapphire,tropical_fruit,열대과일,Tropical Fruit,taste,cocktails,cocktail_tags_blue_sapphire_tropical_fruit,cocktails_blue_sapphire,tags,1,cocktail_tags_format_01
blue_sapphire,fresh,상큼한,Fresh,taste,cocktails,cocktail_tags_blue_sapphire_fresh,cocktails_blue_sapphire,tags,2,cocktail_tags_format_01
bottle_beer,crisp,청량한,Crisp,feel,cocktails,cocktail_tags_bottle_beer_crisp,cocktails_bottle_beer,tags,0,cocktail_tags_format_01
bottle_beer,light,가벼운,Light,feel,cocktails,cocktail_tags_bottle_beer_light,cocktails_bottle_beer,tags,1,cocktail_tags_format_01
brandy_sour,tangy,새콤한,Tangy,taste,cocktails,cocktail_tags_brandy_sour_tangy,cocktails_brandy_sour,tags,0,cocktail_tags_format_01
brandy_sour,heavy,묵직한,Heavy,feel,cocktails,cocktail_tags_brandy_sour_heavy,cocktails_brandy_sour,tags,1,cocktail_tags_format_01
champagne,bright,화사한,Bright,feel,cocktails,cocktail_tags_champagne_bright,cocktails_champagne,tags,0,cocktail_tags_format_01
champagne,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_champagne_sweet,cocktails_champagne,tags,1,cocktail_tags_format_01
cosmopolitan,fresh,상큼한,Fresh,taste,cocktails,cocktail_tags_cosmopolitan_fresh,cocktails_cosmopolitan,tags,0,cocktail_tags_format_01
cosmopolitan,smooth,부드러운,Smooth,feel,cocktails,cocktail_tags_cosmopolitan_smooth,cocktails_cosmopolitan,tags,1,cocktail_tags_format_01
dry_martini,bitter,씁쓸한,Bitter,taste,cocktails,cocktail_tags_dry_martini_bitter,cocktails_dry_martini,tags,0,cocktail_tags_format_01
dry_martini,classic,클래식,Classic,feel,cocktails,cocktail_tags_dry_martini_classic,cocktails_dry_martini,tags,1,cocktail_tags_format_01
dry_martini,strong,독한,Strong,feel,cocktails,cocktail_tags_dry_martini_strong,cocktails_dry_martini,tags,2,cocktail_tags_format_01
espresso_martini,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_espresso_martini_sweet,cocktails_espresso_martini,tags,0,cocktail_tags_format_01
espresso_martini,heavy,묵직한,Heavy,feel,cocktails,cocktail_tags_espresso_martini_heavy,cocktails_espresso_martini,tags,1,cocktail_tags_format_01
espresso_martini,coffee,커피,Coffee,taste,cocktails,cocktail_tags_espresso_martini_coffee,cocktails_espresso_martini,tags,2,cocktail_tags_format_01
french_connection,heavy,묵직한,Heavy,feel,cocktails,cocktail_tags_french_connection_heavy,cocktails_french_connection,tags,0,cocktail_tags_format_01
french_connection,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_french_connection_sweet,cocktails_french_connection,tags,1,cocktail_tags_format_01
french_connection,classic,클래식,Classic,feel,cocktails,cocktail_tags_french_connection_classic,cocktails_french_connection,tags,2,cocktail_tags_format_01
gin_fizz,fresh,상큼한,Fresh,taste,cocktails,cocktail_tags_gin_fizz_fresh,cocktails_gin_fizz,tags,0,cocktail_tags_format_01
gin_fizz,classic,클래식,Classic,feel,cocktails,cocktail_tags_gin_fizz_classic,cocktails_gin_fizz,tags,1,cocktail_tags_format_01
gin_fizz,crisp,청량한,Crisp,feel,cocktails,cocktail_tags_gin_fizz_crisp,cocktails_gin_fizz,tags,2,cocktail_tags_format_01
gin_tonic,fresh,상큼한,Fresh,taste,cocktails,cocktail_tags_gin_tonic_fresh,cocktails_gin_tonic,tags,0,cocktail_tags_format_01
gin_tonic,crisp,청량한,Crisp,feel,cocktails,cocktail_tags_gin_tonic_crisp,cocktails_gin_tonic,tags,1,cocktail_tags_format_01
gin_tonic,classic,클래식,Classic,feel,cocktails,cocktail_tags_gin_tonic_classic,cocktails_gin_tonic,tags,2,cocktail_tags_format_01
godfather,heavy,묵직한,Heavy,feel,cocktails,cocktail_tags_godfather_heavy,cocktails_godfather,tags,0,cocktail_tags_format_01
godfather,classic,클래식,Classic,feel,cocktails,cocktail_tags_godfather_classic,cocktails_godfather,tags,1,cocktail_tags_format_01
godfather,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_godfather_sweet,cocktails_godfather,tags,2,cocktail_tags_format_01
godmother,smooth,부드러운,Smooth,feel,cocktails,cocktail_tags_godmother_smooth,cocktails_godmother,tags,0,cocktail_tags_format_01
godmother,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_godmother_sweet,cocktails_godmother,tags,1,cocktail_tags_format_01
godmother,classic,클래식,Classic,feel,cocktails,cocktail_tags_godmother_classic,cocktails_godmother,tags,2,cocktail_tags_format_01
grasshopper,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_grasshopper_sweet,cocktails_grasshopper,tags,0,cocktail_tags_format_01
grasshopper,smooth,부드러운,Smooth,feel,cocktails,cocktail_tags_grasshopper_smooth,cocktails_grasshopper,tags,1,cocktail_tags_format_01
grasshopper,mint,민트,Mint,taste,cocktails,cocktail_tags_grasshopper_mint,cocktails_grasshopper,tags,2,cocktail_tags_format_01
irish_coffee,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_irish_coffee_sweet,cocktails_irish_coffee,tags,0,cocktail_tags_format_01
irish_coffee,smooth,부드러운,Smooth,feel,cocktails,cocktail_tags_irish_coffee_smooth,cocktails_irish_coffee,tags,1,cocktail_tags_format_01
irish_coffee,coffee,커피,Coffee,taste,cocktails,cocktail_tags_irish_coffee_coffee,cocktails_irish_coffee,tags,2,cocktail_tags_format_01
june_bug,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_june_bug_sweet,cocktails_june_bug,tags,0,cocktail_tags_format_01
june_bug,tropical_fruit,열대과일,Tropical Fruit,taste,cocktails,cocktail_tags_june_bug_tropical_fruit,cocktails_june_bug,tags,1,cocktail_tags_format_01
june_bug,bright,화사한,Bright,feel,cocktails,cocktail_tags_june_bug_bright,cocktails_june_bug,tags,2,cocktail_tags_format_01
kahlua_milk,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_kahlua_milk_sweet,cocktails_kahlua_milk,tags,0,cocktail_tags_format_01
kahlua_milk,smooth,부드러운,Smooth,feel,cocktails,cocktail_tags_kahlua_milk_smooth,cocktails_kahlua_milk,tags,1,cocktail_tags_format_01
long_island,strong,독한,Strong,feel,cocktails,cocktail_tags_long_island_strong,cocktails_long_island,tags,0,cocktail_tags_format_01
long_island,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_long_island_sweet,cocktails_long_island,tags,1,cocktail_tags_format_01
margarita,tangy,새콤한,Tangy,taste,cocktails,cocktail_tags_margarita_tangy,cocktails_margarita,tags,0,cocktail_tags_format_01
margarita,strong,독한,Strong,feel,cocktails,cocktail_tags_margarita_strong,cocktails_margarita,tags,1,cocktail_tags_format_01
moscow_mule,crisp,청량한,Crisp,feel,cocktails,cocktail_tags_moscow_mule_crisp,cocktails_moscow_mule,tags,0,cocktail_tags_format_01
moscow_mule,spicy,알싸한,Spicy,taste,cocktails,cocktail_tags_moscow_mule_spicy,cocktails_moscow_mule,tags,1,cocktail_tags_format_01
oasis_sunset,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_oasis_sunset_sweet,cocktails_oasis_sunset,tags,0,cocktail_tags_format_01
oasis_sunset,tropical_fruit,열대과일,Tropical Fruit,taste,cocktails,cocktail_tags_oasis_sunset_tropical_fruit,cocktails_oasis_sunset,tags,1,cocktail_tags_format_01
oasis_sunset,bright,화사한,Bright,feel,cocktails,cocktail_tags_oasis_sunset_bright,cocktails_oasis_sunset,tags,2,cocktail_tags_format_01
old_pal,bitter,씁쓸한,Bitter,taste,cocktails,cocktail_tags_old_pal_bitter,cocktails_old_pal,tags,0,cocktail_tags_format_01
old_pal,heavy,묵직한,Heavy,feel,cocktails,cocktail_tags_old_pal_heavy,cocktails_old_pal,tags,1,cocktail_tags_format_01
old_pal,classic,클래식,Classic,feel,cocktails,cocktail_tags_old_pal_classic,cocktails_old_pal,tags,2,cocktail_tags_format_01
pink_lady,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_pink_lady_sweet,cocktails_pink_lady,tags,0,cocktail_tags_format_01
pink_lady,smooth,부드러운,Smooth,feel,cocktails,cocktail_tags_pink_lady_smooth,cocktails_pink_lady,tags,1,cocktail_tags_format_01
pink_lady,bright,화사한,Bright,feel,cocktails,cocktail_tags_pink_lady_bright,cocktails_pink_lady,tags,2,cocktail_tags_format_01
red_wine,heavy,묵직한,Heavy,feel,cocktails,cocktail_tags_red_wine_heavy,cocktails_red_wine,tags,0,cocktail_tags_format_01
red_wine,classic,클래식,Classic,feel,cocktails,cocktail_tags_red_wine_classic,cocktails_red_wine,tags,1,cocktail_tags_format_01
screwdriver,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_screwdriver_sweet,cocktails_screwdriver,tags,0,cocktail_tags_format_01
screwdriver,smooth,부드러운,Smooth,feel,cocktails,cocktail_tags_screwdriver_smooth,cocktails_screwdriver,tags,1,cocktail_tags_format_01
tequila_sunrise,sweet,달콤한,Sweet,taste,cocktails,cocktail_tags_tequila_sunrise_sweet,cocktails_tequila_sunrise,tags,0,cocktail_tags_format_01
tequila_sunrise,bright,화사한,Bright,feel,cocktails,cocktail_tags_tequila_sunrise_bright,cocktails_tequila_sunrise,tags,1,cocktail_tags_format_01
whiskey_sour,tangy,새콤한,Tangy,taste,cocktails,cocktail_tags_whiskey_sour_tangy,cocktails_whiskey_sour,tags,0,cocktail_tags_format_01
whiskey_sour,heavy,묵직한,Heavy,feel,cocktails,cocktail_tags_whiskey_sour_heavy,cocktails_whiskey_sour,tags,1,cocktail_tags_format_01
