context,action,ingredient,qty,unit,is_core,scored,auto_apply,dataset_id,row_id,parent_id,parent_field,source_order,template_id
bacardi,pour,rum,4.5,oz,true,true,false,cocktails,recipe_bacardi_01,cocktails_bacardi,recipe,0,recipes_format_01
bacardi,pour,grenadine,0.75,oz,false,true,false,cocktails,recipe_bacardi_02,cocktails_bacardi,recipe,1,recipes_format_01
blue_hawaii,pour,rum,40,ml,true,true,false,cocktails,recipe_blue_hawaii_01,cocktails_blue_hawaii,recipe,0,recipes_format_02
blue_hawaii,pour,blue_curacao,20,ml,true,true,false,cocktails,recipe_blue_hawaii_02,cocktails_blue_hawaii,recipe,1,recipes_format_02
blue_hawaii,pour,coconut_milk,40,ml,false,true,false,cocktails,recipe_blue_hawaii_03,cocktails_blue_hawaii,recipe,2,recipes_format_02
blue_hawaii,fill_up,pineapple_juice,80,ml,false,true,false,cocktails,recipe_blue_hawaii_04,cocktails_blue_hawaii,recipe,3,recipes_format_02
blue_sapphire,pour,blue_curacao,15,ml,true,true,false,cocktails,recipe_blue_sapphire_01,cocktails_blue_sapphire,recipe,0,recipes_format_02
blue_sapphire,pour,peach_brandy,15,ml,false,true,false,cocktails,recipe_blue_sapphire_02,cocktails_blue_sapphire,recipe,1,recipes_format_02
blue_sapphire,pour,coconut_milk,30,ml,false,true,false,cocktails,recipe_blue_sapphire_03,cocktails_blue_sapphire,recipe,2,recipes_format_02
bottle_beer,pour,beer,12,oz,true,true,false,cocktails,recipe_bottle_beer_01,cocktails_bottle_beer,recipe,0,recipes_format_02
brandy_sour,pour,brandy,50,ml,true,true,false,cocktails,recipe_brandy_sour_01,cocktails_brandy_sour,recipe,0,recipes_format_02
brandy_sour,fill_up,sour_mix,45,ml,false,true,false,cocktails,recipe_brandy_sour_02,cocktails_brandy_sour,recipe,1,recipes_format_02
champagne,pour,champagne,8,oz,true,true,false,cocktails,recipe_champagne_01,cocktails_champagne,recipe,0,recipes_format_02
cosmopolitan,pour,vodka,4,oz,true,true,false,cocktails,recipe_cosmopolitan_01,cocktails_cosmopolitan,recipe,0,recipes_format_02
cosmopolitan,pour,cointreau,1.5,oz,false,true,false,cocktails,recipe_cosmopolitan_02,cocktails_cosmopolitan,recipe,1,recipes_format_01
cosmopolitan,pour,cranberry_juice,3,oz,false,true,false,cocktails,recipe_cosmopolitan_03,cocktails_cosmopolitan,recipe,2,recipes_format_02
dry_martini,pour,gin,6,oz,true,true,false,cocktails,recipe_dry_martini_01,cocktails_dry_martini,recipe,0,recipes_format_02
dry_martini,pour,dry_vermouth,1.5,oz,false,true,false,cocktails,recipe_dry_martini_02,cocktails_dry_martini,recipe,1,recipes_format_01
espresso_martini,pour,vodka,30,ml,true,true,false,cocktails,recipe_espresso_martini_01,cocktails_espresso_martini,recipe,0,recipes_format_02
espresso_martini,pour,kahlua,30,ml,false,true,false,cocktails,recipe_espresso_martini_02,cocktails_espresso_martini,recipe,1,recipes_format_02
espresso_martini,pour,coffee,30,ml,true,true,false,cocktails,recipe_espresso_martini_03,cocktails_espresso_martini,recipe,2,recipes_format_02
french_connection,pour,brandy,35,ml,true,true,false,cocktails,recipe_french_connection_01,cocktails_french_connection,recipe,0,recipes_format_02
french_connection,pour,amaretto,35,ml,false,true,false,cocktails,recipe_french_connection_02,cocktails_french_connection,recipe,1,recipes_format_02
gin_fizz,pour,gin,1.5,oz,true,true,false,cocktails,recipe_gin_fizz_01,cocktails_gin_fizz,recipe,0,recipes_format_01
