situation,default_expression,dataset_id,row_id,parent_id,parent_field,source_order,template_id
call,default,bark_situations,bark_situations_call,@bark_situations,\N,0,bark_situations_format_01
call_urge,annoyingB,bark_situations,bark_situations_call_urge,@bark_situations,\N,1,bark_situations_format_01
call_final,annoyingR,bark_situations,bark_situations_call_final,@bark_situations,\N,2,bark_situations_format_01
ask_order,default,bark_situations,bark_situations_ask_order,@bark_situations,\N,3,bark_situations_format_01
order_think,default,bark_situations,bark_situations_order_think,@bark_situations,\N,4,bark_situations_format_01
order,default,bark_situations,bark_situations_order,@bark_situations,\N,5,bark_situations_format_01
reorder,joy,bark_situations,bark_situations_reorder,@bark_situations,\N,6,bark_situations_format_01
serve_urge,annoyingB,bark_situations,bark_situations_serve_urge,@bark_situations,\N,7,bark_situations_format_01
serve_final,annoyingR,bark_situations,bark_situations_serve_final,@bark_situations,\N,8,bark_situations_format_01
serve_thanks,joy,bark_situations,bark_situations_serve_thanks,@bark_situations,\N,9,bark_situations_format_01
react_excellent,joy,bark_situations,bark_situations_react_excellent,@bark_situations,\N,10,bark_situations_format_01
react_good,joy,bark_situations,bark_situations_react_good,@bark_situations,\N,11,bark_situations_format_01
react_decent,default,bark_situations,bark_situations_react_decent,@bark_situations,\N,12,bark_situations_format_01
react_poor,annoyingB,bark_situations,bark_situations_react_poor,@bark_situations,\N,13,bark_situations_format_01
react_sewage,annoyingR,bark_situations,bark_situations_react_sewage,@bark_situations,\N,14,bark_situations_format_01
wrong_receive,surprise,bark_situations,bark_situations_wrong_receive,@bark_situations,\N,15,bark_situations_format_01
wrong_drink,anger,bark_situations,bark_situations_wrong_drink,@bark_situations,\N,16,bark_situations_format_01
bye_good,joy,bark_situations,bark_situations_bye_good,@bark_situations,\N,17,bark_situations_format_01
bye_bad,anger,bark_situations,bark_situations_bye_bad,@bark_situations,\N,18,bark_situations_format_01
leave_coaster,anger,bark_situations,bark_situations_leave_coaster,@bark_situations,\N,19,bark_situations_format_01
leave_serve,anger,bark_situations,bark_situations_leave_serve,@bark_situations,\N,20,bark_situations_format_01
idle,default,bark_situations,bark_situations_idle,@bark_situations,\N,21,bark_situations_format_01
drunk_enter,joy,bark_situations,bark_situations_drunk_enter,@bark_situations,\N,22,bark_situations_format_01
drunk_vomit,fear,bark_situations,bark_situations_drunk_vomit,@bark_situations,\N,23,bark_situations_format_01
