expression,text.ko,text.en,voice_id,situation,weight,dataset_id,row_id,parent_id,parent_field,source_order,template_id
\N,"한 명이요, 자리 있을까요?","Table for one, please?",gentle,call,1,barks,barks_barks_call,@barks,\N,0,barks_format_01
\N,안녕하세요!,Hello!,gentle,call,1,barks,barks_barks_call_2,@barks,\N,1,barks_format_01
\N,"마스터, 자리 있나요?","Master, got a seat?",gentle,call,1,barks,barks_barks_call_3,@barks,\N,2,barks_format_01
\N,안녕하세요.,Good evening.,gentle,call,1,barks,barks_barks_call_4,@barks,\N,3,barks_format_01
\N,실례합니다...,Excuse me...,gentle,call,1,barks,barks_barks_call_5,@barks,\N,4,barks_format_01
\N,저기요...,"Um, excuse me...",gentle,call_urge,1,barks,barks_barks_call_urge,@barks,\N,5,barks_format_01
\N,음... 자리 없나요?,Hm... no seats?,gentle,call_urge,1,barks,barks_barks_call_urge_2,@barks,\N,6,barks_format_01
\N,마스터?,Master?,gentle,call_urge,1,barks,barks_barks_call_urge_3,@barks,\N,7,barks_format_01
\N,"저기요, 마스터.","Excuse me, master.",gentle,call_final,1,barks,barks_barks_call_final,@barks,\N,8,barks_format_01
\N,왜 안 오시지...,Why isn't anyone coming...,gentle,call_final,1,barks,barks_barks_call_final_2,@barks,\N,9,barks_format_01
\N,자리가 없나?,"No seats, maybe?",gentle,call_final,1,barks,barks_barks_call_final_3,@barks,\N,10,barks_format_01
\N,{cocktail} 부탁드립니다.,"A {cocktail}, please.",gentle,order,1,barks,barks_barks_order,@barks,\N,11,barks_format_01
\N,"음, {cocktail} 주문할게요.","Hm, I'll order a {cocktail}.",gentle,order,1,barks,barks_barks_order_2,@barks,\N,12,barks_format_01
\N,{cocktail} 주세요.,"One {cocktail}, please.",gentle,order,1,barks,barks_barks_order_3,@barks,\N,13,barks_format_01
\N,맛있다... 감사합니다.,Delicious... thank you.,gentle,react_excellent,1,barks,barks_barks_react_excellent,@barks,\N,14,barks_format_01
\N,맛있네요! 감사합니다.,Tastes great! Thank you.,gentle,react_excellent,1,barks,barks_barks_react_excellent_2,@barks,\N,15,barks_format_01
\N,"아, 이거 좋네요.","Oh, this is nice.",gentle,react_good,1,barks,barks_barks_react_good,@barks,\N,16,barks_format_01
\N,"맛이 좀, ... 이상한 것 같은데요.","The taste is a little... off, I think.",gentle,react_poor,1,barks,barks_barks_react_poor,@barks,\N,17,barks_format_01
\N,... 주문이 혹시 잘못 들어갔나요?,...Did my order get mixed up?,gentle,react_poor,1,barks,barks_barks_react_poor_2,@barks,\N,18,barks_format_01
\N,저 {cocktail} 시켰는데... 맞다고요?,I ordered a {cocktail}... this is it?,gentle,wrong_drink,1,barks,barks_barks_wrong_drink,@barks,\N,19,barks_format_01
\N,이번에는 {cocktail} 주문할게요.,I'll order a {cocktail} this time.,gentle,reorder,1,barks,barks_barks_reorder,@barks,\N,20,barks_format_01
\N,{cocktail} 하나 더 부탁드립니다.,"One more {cocktail}, please.",gentle,reorder,1,barks,barks_barks_reorder_2,@barks,\N,21,barks_format_01
\N,이번에는 {cocktail} 하나 주세요.,"This time, a {cocktail}, please.",gentle,reorder,1,barks,barks_barks_reorder_3,@barks,\N,22,barks_format_01
\N,"감사합니다, 잘 마셨어요!","Thank you, that was lovely!",gentle,bye_good,1,barks,barks_barks_bye_good,@barks,\N,23,barks_format_01
\N,"어이, 자리 있어?","Oi, got a seat?",rough,call,1,barks,barks_barks_call_6,@barks,\N,24,barks_format_01
\N,이봐! 마스터!,Hey! Master!,rough,call,1,barks,barks_barks_call_7,@barks,\N,25,barks_format_01
\N,한 명.,One.,rough,call,1,barks,barks_barks_call_8,@barks,\N,26,barks_format_01
\N,마스터!!!,MASTER!!!,rough,call_urge,1,barks,barks_barks_call_urge_4,@barks,\N,27,barks_format_01
\N,야!!! 손님 무시해?!,HEY!!! You ignoring a customer?!,rough,call_urge,1,barks,barks_barks_call_urge_5,@barks,\N,28,barks_format_01
\N,자리 있냐고 물었잖아. 대답 안 해?,I asked if there's a seat. No answer?,rough,call_urge,1,barks,barks_barks_call_urge_6,@barks,\N,29,barks_format_01
\N,빠져가지고... 쯧.,Tch... useless.,rough,call_final,1,barks,barks_barks_call_final_4,@barks,\N,30,barks_format_01
\N,술이나 파는 새끼가 건방지게...,A booze peddler with an attitude...,rough,call_final,1,barks,barks_barks_call_final_5,@barks,\N,31,barks_format_01
\N,...,...,rough,call_final,1,barks,barks_barks_call_final_6,@barks,\N,32,barks_format_01
\N,{cocktail} 한 잔 말아와.,Mix me a {cocktail}.,rough,order,1,barks,barks_barks_order_4,@barks,\N,33,barks_format_01
\N,{cocktail} 하나.,One {cocktail}.,rough,order,1,barks,barks_barks_order_5,@barks,\N,34,barks_format_01
\N,{cocktail}.,{cocktail}.,rough,order,1,barks,barks_barks_order_6,@barks,\N,35,barks_format_01
\N,"어이, 마스터! {cocktail} 하나!","Oi, master! One {cocktail}!",rough,order,1,barks,barks_barks_order_7,@barks,\N,36,barks_format_01
\N,크하! 이거 맛 죽이네!,HAH! This hits!,rough,react_excellent,1,barks,barks_barks_react_excellent_3,@barks,\N,37,barks_format_01
\N,"이게 술이지! 크흐, 좀 살겠다!","Now THAT's a drink! Whew, I'm alive again!",rough,react_excellent,1,barks,barks_barks_react_excellent_4,@barks,\N,38,barks_format_01
\N,이 맛에 돈 쓰지. 오늘 좀 괜찮은데?,This is what I pay for. Not bad tonight?,rough,react_good,1,barks,barks_barks_react_good_2,@barks,\N,39,barks_format_01
\N,"야, 돈 도로 뱉어. 돈 내고 이딴 건 못 마셔.","Hey, spit my money back. I'm not paying for this.",rough,react_poor,1,barks,barks_barks_react_poor_3,@barks,\N,40,barks_format_01
\N,장난해?! 이걸 어떻게 마시라는 거야!!,You kidding?! How am I supposed to drink this?!,rough,react_sewage,1,barks,barks_barks_react_sewage,@barks,\N,41,barks_format_01
\N,"아이 씹, 이딴 걸 술이라고 내와?",The hell — you call this booze?,rough,react_sewage,1,barks,barks_barks_react_sewage_2,@barks,\N,42,barks_format_01
\N,쳐맞고 싶어서 환장했나... 맛이 왜 이래?,You asking for a beating... why does it taste like this?,rough,react_sewage,1,barks,barks_barks_react_sewage_3,@barks,\N,43,barks_format_01
\N,"이봐, 마스터! {cocktail} 한 잔 말아줘!","Oi, master! Mix me another {cocktail}!",rough,reorder,1,barks,barks_barks_reorder_4,@barks,\N,44,barks_format_01
\N,{cocktail} 하나 더!,One more {cocktail}!,rough,reorder,1,barks,barks_barks_reorder_5,@barks,\N,45,barks_format_01
\N,{cocktail} 주쇼!,"{cocktail}, now!",rough,reorder,1,barks,barks_barks_reorder_6,@barks,\N,46,barks_format_01
\N,안녕하세요.,Hello.,touchy,call,1,barks,barks_barks_call_9,@barks,\N,47,barks_format_01
\N,1명이요.,"One, please.",touchy,call,1,barks,barks_barks_call_10,@barks,\N,48,barks_format_01
\N,...,...,touchy,call,1,barks,barks_barks_call_11,@barks,\N,49,barks_format_01
\N,사람 무시하나 지금...,Am I invisible or something...,touchy,call_urge,1,barks,barks_barks_call_urge_7,@barks,\N,50,barks_format_01
\N,여기 손님 응대가 왜 이래?,What's with the service here?,touchy,call_urge,1,barks,barks_barks_call_urge_8,@barks,\N,51,barks_format_01
\N,"이봐요, 마스터.","Hey, master.",touchy,call_urge,1,barks,barks_barks_call_urge_9,@barks,\N,52,barks_format_01
\N,지금 뭐 하자는 거야? 사람 안 보여?,What is this? Can't you see me?,touchy,call_final,1,barks,barks_barks_call_final_7,@barks,\N,53,barks_format_01
\N,뭐 어쩌라는 건지...,What am I even supposed to do...,touchy,call_final,1,barks,barks_barks_call_final_8,@barks,\N,54,barks_format_01
\N,마스터! 손님 응대 안 해요?,Master! No service here?,touchy,call_final,1,barks,barks_barks_call_final_9,@barks,\N,55,barks_format_01
\N,{cocktail} 하나 줘봐요.,Give me a {cocktail}.,touchy,order,1,barks,barks_barks_order_8,@barks,\N,56,barks_format_01
\N,{cocktail}.,{cocktail}.,touchy,order,1,barks,barks_barks_order_9,@barks,\N,57,barks_format_01
\N,{cocktail} 하나.,One {cocktail}.,touchy,order,1,barks,barks_barks_order_10,@barks,\N,58,barks_format_01
\N,"좋네요, 고마워요.",It's good. Thanks.,touchy,react_excellent,1,barks,barks_barks_react_excellent_5,@barks,\N,59,barks_format_01
\N,... 괜찮네.,...Not bad.,touchy,react_good,1,barks,barks_barks_react_good_3,@barks,\N,60,barks_format_01
\N,나쁘지 않네요.,Not bad at all.,touchy,react_good,1,barks,barks_barks_react_good_4,@barks,\N,61,barks_format_01
\N,이걸 칵테일이라고 내온 건 아니죠?,"You're not calling this a cocktail, are you?",touchy,react_poor,1,barks,barks_barks_react_poor_4,@barks,\N,62,barks_format_01
\N,무슨 이딴 걸 칵테일이라고...,What kind of cocktail is this...,touchy,react_sewage,1,barks,barks_barks_react_sewage_4,@barks,\N,63,barks_format_01
\N,"시간이랑 돈 다 버렸네요, 이걸로 장사가 돼요?",Wasted my time and money. How is this place in business?,touchy,react_sewage,1,barks,barks_barks_react_sewage_5,@barks,\N,64,barks_format_01
\N,물 있어요? 입 헹구려고요. 뭔 이런 걸 팔고 있어...,Got water? I need to rinse my mouth. Unbelievable...,touchy,react_sewage,1,barks,barks_barks_react_sewage_6,@barks,\N,65,barks_format_01
\N,{cocktail} 하나 줘봐요.,Give me a {cocktail}.,touchy,reorder,1,barks,barks_barks_reorder_7,@barks,\N,66,barks_format_01
\N,"추가 주문할게요, {cocktail}으로.",I'll add an order — {cocktail}.,touchy,reorder,1,barks,barks_barks_reorder_8,@barks,\N,67,barks_format_01
\N,{cocktail} 하나 더.,One more {cocktail}.,touchy,reorder,1,barks,barks_barks_reorder_9,@barks,\N,68,barks_format_01
\N,...,...,quiet,call,1,barks,barks_barks_call_12,@barks,\N,69,barks_format_01
\N,마스터.,Master.,quiet,call,1,barks,barks_barks_call_13,@barks,\N,70,barks_format_01
\N,한 명.,One.,quiet,call,1,barks,barks_barks_call_14,@barks,\N,71,barks_format_01
\N,...,...,quiet,call_urge,1,barks,barks_barks_call_urge_10,@barks,\N,72,barks_format_01
\N,"마스터, 자리 있나?","Master, any seats?",quiet,call_urge,1,barks,barks_barks_call_urge_11,@barks,\N,73,barks_format_01
\N,마스터?,Master?,quiet,call_urge,1,barks,barks_barks_call_urge_12,@barks,\N,74,barks_format_01
\N,...,...,quiet,call_final,1,barks,barks_barks_call_final_10,@barks,\N,75,barks_format_01
\N,"마스터, 안내 좀 해줬으면 하는데.","Master, I'd like to be seated.",quiet,call_final,1,barks,barks_barks_call_final_11,@barks,\N,76,barks_format_01
\N,"마스터, 지금 바쁩니까?","Master, are you busy?",quiet,call_final,1,barks,barks_barks_call_final_12,@barks,\N,77,barks_format_01
\N,{cocktail} 하나.,One {cocktail}.,quiet,order,1,barks,barks_barks_order_11,@barks,\N,78,barks_format_01
\N,{cocktail}으로.,"{cocktail}, then.",quiet,order,1,barks,barks_barks_order_12,@barks,\N,79,barks_format_01
\N,{cocktail}.,{cocktail}.,quiet,order,1,barks,barks_barks_order_13,@barks,\N,80,barks_format_01
\N,잘 마셨습니다.,That was good.,quiet,react_excellent,1,barks,barks_barks_react_excellent_6,@barks,\N,81,barks_format_01
\N,맛있네요.,Tasty.,quiet,react_good,1,barks,barks_barks_react_good_5,@barks,\N,82,barks_format_01
\N,감사합니다.,Thank you.,quiet,react_good,1,barks,barks_barks_react_good_6,@barks,\N,83,barks_format_01
\N,"... 맛이 좀, 그렇군요.","...The taste is, well.",quiet,react_poor,1,barks,barks_barks_react_poor_5,@barks,\N,84,barks_format_01
\N,... 뭔가 맛이 이상한데.,...Something's off.,quiet,react_poor,1,barks,barks_barks_react_poor_6,@barks,\N,85,barks_format_01
\N,...,...,quiet,react_sewage,1,barks,barks_barks_react_sewage_7,@barks,\N,86,barks_format_01
\N,{cocktail} 하나 부탁드립니다.,"One {cocktail}, please.",quiet,reorder,1,barks,barks_barks_reorder_10,@barks,\N,87,barks_format_01
\N,이번에는 {cocktail}.,"This time, {cocktail}.",quiet,reorder,1,barks,barks_barks_reorder_11,@barks,\N,88,barks_format_01
\N,추가로 {cocktail} 한 잔 부탁합니다.,"Another {cocktail}, please.",quiet,reorder,1,barks,barks_barks_reorder_12,@barks,\N,89,barks_format_01
\N,마스터! 한 명이요~,"Master! One, please~",chatty,call,1,barks,barks_barks_call_15,@barks,\N,90,barks_format_01
\N,"아이, 나 한 잔만 걸치고 갈게. 마스터!","C'mon, just one quick drink. Master!",chatty,call,1,barks,barks_barks_call_16,@barks,\N,91,barks_format_01
