id,gender,mode,sprite,emotions,parts,weight,dataset_id,row_id,parent_id,parent_field,source_order,template_id
arm_accessory_m_1,m,sprite,Guest/arm_accessory_m_1,\N,\N,1,guest_bodies,guest_parts_arm_accessory_m_1,guest_settings_1,arm_accessories,0,guest_parts_format_01
body_m,m,sprite,Guest/body_m,\N,\N,1,guest_bodies,guest_parts_body_m,guest_settings_1,bodies,0,guest_parts_format_01
body_f,f,sprite,Guest/body_f,\N,\N,1,guest_bodies,guest_parts_body_f,guest_settings_1,bodies,1,guest_parts_format_01
eyebrows_m_1,m,sprite,Guest/eyebrows_m_1,\N,\N,1,guest_bodies,guest_parts_eyebrows_m_1,guest_settings_1,eyebrows,0,guest_parts_format_01
eyebrows_m_2,m,sprite,Guest/eyebrows_m_2,\N,\N,1,guest_bodies,guest_parts_eyebrows_m_2,guest_settings_1,eyebrows,1,guest_parts_format_01
eyebrows_m_3,m,sprite,Guest/eyebrows_m_3,\N,\N,1,guest_bodies,guest_parts_eyebrows_m_3,guest_settings_1,eyebrows,2,guest_parts_format_01
eyebrows_f_1,f,sprite,Guest/eyebrows_f_1,\N,\N,1,guest_bodies,guest_parts_eyebrows_f_1,guest_settings_1,eyebrows,3,guest_parts_format_01
eyes_m_1,m,sprite,Guest/eyes_m_1,\N,\N,1,guest_bodies,guest_parts_eyes_m_1,guest_settings_1,eyes,0,guest_parts_format_01
eyes_m_2,m,sprite,Guest/eyes_m_2,\N,\N,1,guest_bodies,guest_parts_eyes_m_2,guest_settings_1,eyes,1,guest_parts_format_01
eyes_m_3,m,sprite,Guest/eyes_m_3,\N,\N,1,guest_bodies,guest_parts_eyes_m_3,guest_settings_1,eyes,2,guest_parts_format_01
eyes_f_1,f,sprite,Guest/eyes_f_1,\N,\N,1,guest_bodies,guest_parts_eyes_f_1,guest_settings_1,eyes,3,guest_parts_format_01
eyes_f_2,f,sprite,Guest/eyes_f_2,\N,\N,1,guest_bodies,guest_parts_eyes_f_2,guest_settings_1,eyes,4,guest_parts_format_01
hair_m_1,m,sprite,Guest/hair_m_1,\N,\N,1,guest_bodies,guest_parts_hair_m_1,guest_settings_1,hairs,0,guest_parts_format_01
hair_m_2,m,sprite,Guest/hair_m_2,\N,\N,1,guest_bodies,guest_parts_hair_m_2,guest_settings_1,hairs,1,guest_parts_format_01
hair_f_1,f,sprite,Guest/hair_f_1,\N,\N,1,guest_bodies,guest_parts_hair_f_1,guest_settings_1,hairs,2,guest_parts_format_01
hair_f_2,f,sprite,Guest/hair_f_2,\N,\N,1,guest_bodies,guest_parts_hair_f_2,guest_settings_1,hairs,3,guest_parts_format_01
mouth_m_1,m,sprite,Guest/mouth_m_1,\N,\N,1,guest_bodies,guest_parts_mouth_m_1,guest_settings_1,mouths,0,guest_parts_format_01
mouth_m_2,m,sprite,Guest/mouth_m_2,\N,\N,1,guest_bodies,guest_parts_mouth_m_2,guest_settings_1,mouths,1,guest_parts_format_01
mouth_m_3,m,sprite,Guest/mouth_m_3,\N,\N,1,guest_bodies,guest_parts_mouth_m_3,guest_settings_1,mouths,2,guest_parts_format_01
mouth_f_1,f,sprite,Guest/mouth_f_1,\N,\N,1,guest_bodies,guest_parts_mouth_f_1,guest_settings_1,mouths,3,guest_parts_format_01
necklace_m_1,m,sprite,Guest/necklace_m_1,\N,\N,1,guest_bodies,guest_parts_necklace_m_1,guest_settings_1,necklaces,0,guest_parts_format_01
outerwear_m_1,m,sprite,Guest/outerwear_m_1,\N,\N,1,guest_bodies,guest_parts_outerwear_m_1,guest_settings_1,outerwears,0,guest_parts_format_01
outfit_m_1,m,sprite,Guest/outfit_m_1,\N,\N,1,guest_bodies,guest_parts_outfit_m_1,guest_settings_1,outfits,0,guest_parts_format_01
outfit_m_2,m,sprite,Guest/outfit_m_2,\N,\N,1,guest_bodies,guest_parts_outfit_m_2,guest_settings_1,outfits,1,guest_parts_format_01
outfit_m_3,m,sprite,Guest/outfit_m_3,\N,\N,1,guest_bodies,guest_parts_outfit_m_3,guest_settings_1,outfits,2,guest_parts_format_01
outfit_m_4,m,sprite,Guest/outfit_m_4,\N,\N,1,guest_bodies,guest_parts_outfit_m_4,guest_settings_1,outfits,3,guest_parts_format_01
outfit_m_5,m,sprite,Guest/outfit_m_5,\N,\N,1,guest_bodies,guest_parts_outfit_m_5,guest_settings_1,outfits,4,guest_parts_format_01
outfit_m_6,m,sprite,Guest/outfit_m_6,\N,\N,1,guest_bodies,guest_parts_outfit_m_6,guest_settings_1,outfits,5,guest_parts_format_01
outfit_m_7,m,sprite,Guest/outfit_m_7,\N,\N,1,guest_bodies,guest_parts_outfit_m_7,guest_settings_1,outfits,6,guest_parts_format_01
outfit_m_8,m,sprite,Guest/outfit_m_8,\N,\N,1,guest_bodies,guest_parts_outfit_m_8,guest_settings_1,outfits,7,guest_parts_format_01
outfit_f_1,f,sprite,Guest/outfit_f_1,\N,\N,1,guest_bodies,guest_parts_outfit_f_1,guest_settings_1,outfits,8,guest_parts_format_01
outfit_f_2,f,sprite,Guest/outfit_f_2,\N,\N,1,guest_bodies,guest_parts_outfit_f_2,guest_settings_1,outfits,9,guest_parts_format_01
