context,day,scene_id,flow_seq,play_type,when,dataset_id,row_id,parent_id,parent_field,source_order,template_id
p_alley_cat,2,d3_alley_cat,0,once,\N,interact_points_outside,dialogue_flows_p_alley_cat_d3_alley_cat,interact_points_p_alley_cat,dialogue_flows,0,dialogue_flows_format_01
p_elevator_radio,0,d1_elevator,2,repeat,\N,interact_points_outside,dialogue_flows_p_elevator_radio_d1_elevator,interact_points_p_elevator_radio,dialogue_flows,0,dialogue_flows_format_01
p_ob_experiment,\N,ob_experiment_1,1,once,\N,interact_points_outside,dialogue_flows_p_ob_experiment_ob_experiment_1,interact_points_p_ob_experiment,dialogue_flows,0,dialogue_flows_format_02
p_ob_parttime,\N,ob_parttime_1,1,repeat,\N,interact_points_outside,dialogue_flows_p_ob_parttime_ob_parttime_1,interact_points_p_ob_parttime,dialogue_flows,0,dialogue_flows_format_02
p_shiba,\N,np_shiba_1,1,once,\N,interact_points_outside,dialogue_flows_p_shiba_np_shiba_1,interact_points_p_shiba,dialogue_flows,0,dialogue_flows_format_02
p_shiba,\N,np_shiba_3,2,once,day >= 2,interact_points_outside,dialogue_flows_p_shiba_np_shiba_3,interact_points_p_shiba,dialogue_flows,1,dialogue_flows_format_03
p_shiba,\N,np_shiba_2,3,repeat,\N,interact_points_outside,dialogue_flows_p_shiba_np_shiba_2,interact_points_p_shiba,dialogue_flows,2,dialogue_flows_format_02
p_qa_auto_radio,99,qa_auto_radio,0,repeat,\N,qa/interact_points_day99,dialogue_flows_p_qa_auto_radio_qa_auto_radio,interact_points_p_qa_auto_radio,dialogue_flows,0,dialogue_flows_format_01
p_qa_choice,99,qa_choice,5,repeat,\N,qa/interact_points_day99,dialogue_flows_p_qa_choice_qa_choice,interact_points_p_qa_choice,dialogue_flows,0,dialogue_flows_format_01
p_qa_object_text,99,qa_object_text,2,repeat,\N,qa/interact_points_day99,dialogue_flows_p_qa_object_text_qa_object_text,interact_points_p_qa_object_text,dialogue_flows,0,dialogue_flows_format_01
p_qa_pair_a,99,qa_np_conversation,1,repeat,\N,qa/interact_points_day99,dialogue_flows_p_qa_pair_a_qa_np_conversation,interact_points_p_qa_pair_a,dialogue_flows,0,dialogue_flows_format_01
p_qa_pair_b,99,qa_np_conversation,1,repeat,\N,qa/interact_points_day99,dialogue_flows_p_qa_pair_b_qa_np_conversation,interact_points_p_qa_pair_b,dialogue_flows,0,dialogue_flows_format_01
p_qa_player_npc,99,qa_player_npc_dialogue,4,repeat,\N,qa/interact_points_day99,dialogue_flows_p_qa_player_npc_qa_player_npc_dialogue,interact_points_p_qa_player_npc,dialogue_flows,0,dialogue_flows_format_01
p_qa_poster_once,99,qa_poster_once,21,once,\N,qa/interact_points_day99,dialogue_flows_p_qa_poster_once_qa_poster_once,interact_points_p_qa_poster_once,dialogue_flows,0,dialogue_flows_format_01
p_qa_poster_repeat,99,qa_poster_repeat,20,repeat,\N,qa/interact_points_day99,dialogue_flows_p_qa_poster_repeat_qa_poster_repeat,interact_points_p_qa_poster_repeat,dialogue_flows,0,dialogue_flows_format_01
p_qa_sequence,99,qa_sequence_1,10,once,\N,qa/interact_points_day99,dialogue_flows_p_qa_sequence_qa_sequence_1,interact_points_p_qa_sequence,dialogue_flows,0,dialogue_flows_format_01
p_qa_sequence,99,qa_sequence_2,11,once,\N,qa/interact_points_day99,dialogue_flows_p_qa_sequence_qa_sequence_2,interact_points_p_qa_sequence,dialogue_flows,1,dialogue_flows_format_01
p_qa_sequence,99,qa_sequence_3,12,repeat,\N,qa/interact_points_day99,dialogue_flows_p_qa_sequence_qa_sequence_3,interact_points_p_qa_sequence,dialogue_flows,2,dialogue_flows_format_01
p_qa_spawn_remove,99,qa_spawn_remove,22,once,\N,qa/interact_points_day99,dialogue_flows_p_qa_spawn_remove_qa_spawn_remove,interact_points_p_qa_spawn_remove,dialogue_flows,0,dialogue_flows_format_01
p_qa_step_probe,99,qa_step_probe,3,repeat,\N,qa/interact_points_day99,dialogue_flows_p_qa_step_probe_qa_step_probe,interact_points_p_qa_step_probe,dialogue_flows,0,dialogue_flows_format_01
