setting,value_type,value,dataset_id,row_id,parent_id,parent_field,source_order,template_id
data_schema_version,str,2.7.0,balance,balance_data_schema_version,balance_root,config,0,balance_config_format_01
gold_start,int,300,balance,balance_gold_start,balance_root,config,1,balance_config_format_02
reputation_start,int,0,balance,balance_reputation_start,balance_root,config,2,balance_config_format_02
commute_in_time,str,19:00,balance,balance_commute_in_time,balance_root,config,3,balance_config_format_01
commute_out_time,str,02:00,balance,balance_commute_out_time,balance_root,config,4,balance_config_format_01
coaster_base_sec,int,22,balance,balance_coaster_base_sec,balance_root,config,5,balance_config_format_02
coaster_min_sec,int,12,balance,balance_coaster_min_sec,balance_root,config,6,balance_config_format_02
coaster_max_sec,int,60,balance,balance_coaster_max_sec,balance_root,config,7,balance_config_format_02
serve_bonus_sec,int,40,balance,balance_serve_bonus_sec,balance_root,config,8,balance_config_format_02
serve_grace_per_day_sec,int,3,balance,balance_serve_grace_per_day_sec,balance_root,config,9,balance_config_format_02
serve_min_bonus_sec,int,10,balance,balance_serve_min_bonus_sec,balance_root,config,10,balance_config_format_02
warn_yellow_ratio,float,0.5,balance,balance_warn_yellow_ratio,balance_root,config,11,balance_config_format_03
warn_red_ratio,float,0.8,balance,balance_warn_red_ratio,balance_root,config,12,balance_config_format_03
craft_pause_start,str,cocktail_menu_enter,balance,balance_craft_pause_start,balance_root,config,13,balance_config_format_01
craft_pause_end,str,return_to_table_after_serve_choice,balance,balance_craft_pause_end,balance_root,config,14,balance_config_format_01
discard_keeps_pause,bool,true,balance,balance_discard_keeps_pause,balance_root,config,15,balance_config_format_04
force_sewage_on_order_mismatch,bool,true,balance,balance_force_sewage_on_order_mismatch,balance_root,config,16,balance_config_format_04
force_sewage_on_missing_core,bool,true,balance,balance_force_sewage_on_missing_core,balance_root,config,17,balance_config_format_04
craft_score_formula,str,weighted_representative_v1,balance,balance_craft_score_formula,balance_root,config,18,balance_config_format_01
score_aggregation_mode,str,mean_per_action_then_weighted,balance,balance_score_aggregation_mode,balance_root,config,19,balance_config_format_01
normalize_present_gimmick_weights,bool,true,balance,balance_normalize_present_gimmick_weights,balance_root,config,20,balance_config_format_04
fill_up_weight_source,str,weight_pour,balance,balance_fill_up_weight_source,balance_root,config,21,balance_config_format_01
craft_timer_scope,str,manual_input_active_only,balance,balance_craft_timer_scope,balance_root,config,22,balance_config_format_01
shake_target_stacks,int,20,balance,balance_shake_target_stacks,balance_root,config,23,balance_config_format_02
open_approach_sec,float,1.6,balance,balance_open_approach_sec,balance_root,config,24,balance_config_format_03
open_judge_window_px,int,10,balance,balance_open_judge_window_px,balance_root,config,25,balance_config_format_02
open_start_radius_px,int,165,balance,balance_open_start_radius_px,balance_root,config,26,balance_config_format_02
open_target_radius_px,int,44,balance,balance_open_target_radius_px,balance_root,config,27,balance_config_format_02
open_input_enabled_after_sec,float,0,balance,balance_open_input_enabled_after_sec,balance_root,config,28,balance_config_format_03
open_transition_delay_sec,float,0.9,balance,balance_open_transition_delay_sec,balance_root,config,29,balance_config_format_03
open_penalty_per_failure,int,15,balance,balance_open_penalty_per_failure,balance_root,config,30,balance_config_format_02
powder_demo_behavior,str,auto_apply_unscored,balance,balance_powder_demo_behavior,balance_root,config,31,balance_config_format_01
squeeze_demo_behavior,str,auto_apply_unscored,balance,balance_squeeze_demo_behavior,balance_root,config,32,balance_config_format_01
ice_demo_behavior,str,auto_apply_unscored,balance,balance_ice_demo_behavior,balance_root,config,33,balance_config_format_01
pour_start_angle_deg,float,95,balance,balance_pour_start_angle_deg,balance_root,config,34,balance_config_format_03
pour_max_tilt_angle_deg,float,150,balance,balance_pour_max_tilt_angle_deg,balance_root,config,35,balance_config_format_03
pour_tilt_speed_deg_per_sec,float,95,balance,balance_pour_tilt_speed_deg_per_sec,balance_root,config,36,balance_config_format_03
pour_emit_rate_ml_per_sec,float,70,balance,balance_pour_emit_rate_ml_per_sec,balance_root,config,37,balance_config_format_03
pour_quantity_update_interval_sec,float,0.05,balance,balance_pour_quantity_update_interval_sec,balance_root,config,38,balance_config_format_03
shake_bpm,float,60,balance,balance_shake_bpm,balance_root,config,39,balance_config_format_03
shake_judge_radius_units,float,1,balance,balance_shake_judge_radius_units,balance_root,config,40,balance_config_format_03
shake_node_lifetime_sec,float,2,balance,balance_shake_node_lifetime_sec,balance_root,config,41,balance_config_format_03
shake_pattern_node_min_count,int,1,balance,balance_shake_pattern_node_min_count,balance_root,config,42,balance_config_format_02
shake_pattern_node_max_count,int,3,balance,balance_shake_pattern_node_max_count,balance_root,config,43,balance_config_format_02
glass_mismatch_penalty,int,10,balance,balance_glass_mismatch_penalty,balance_root,config,44,balance_config_format_02
tool_mismatch_penalty,int,10,balance,balance_tool_mismatch_penalty,balance_root,config,45,balance_config_format_02
missing_ingredient_penalty,int,15,balance,balance_missing_ingredient_penalty,balance_root,config,46,balance_config_format_02
extra_ingredient_penalty,int,10,balance,balance_extra_ingredient_penalty,balance_root,config,47,balance_config_format_02
weight_open,int,10,balance,balance_weight_open,balance_root,config,48,balance_config_format_02
weight_pour,int,20,balance,balance_weight_pour,balance_root,config,49,balance_config_format_02
weight_squeeze,int,10,balance,balance_weight_squeeze,balance_root,config,50,balance_config_format_02
weight_powder,int,5,balance,balance_weight_powder,balance_root,config,51,balance_config_format_02
weight_shake,int,20,balance,balance_weight_shake,balance_root,config,52,balance_config_format_02
weight_stir,int,20,balance,balance_weight_stir,balance_root,config,53,balance_config_format_02
unit_oz_to_ml,int,30,balance,balance_unit_oz_to_ml,balance_root,config,54,balance_config_format_02
unit_tsp_to_ml,int,5,balance,balance_unit_tsp_to_ml,balance_root,config,55,balance_config_format_02
spawn_delay_default_sec,int,25,balance,balance_spawn_delay_default_sec,balance_root,config,56,balance_config_format_02
next_round_delay_sec,int,3,balance,balance_next_round_delay_sec,balance_root,config,57,balance_config_format_02
drunk_vomit_chance,float,0.4,balance,balance_drunk_vomit_chance,balance_root,config,58,balance_config_format_03
leave_coaster_rep,int,-1,balance,balance_leave_coaster_rep,balance_root,config,59,balance_config_format_02
leave_serve_rep,int,-2,balance,balance_leave_serve_rep,balance_root,config,60,balance_config_format_02
save_checkpoint_policy,str,fixed_transitions_v1,balance,balance_save_checkpoint_policy,balance_root,config,61,balance_config_format_01
manual_save_allowed_phase,str,home,balance,balance_manual_save_allowed_phase,balance_root,config,62,balance_config_format_01
manual_save_slot_count,int,5,balance,balance_manual_save_slot_count,balance_root,config,63,balance_config_format_02
autosave_slot_count,int,1,balance,balance_autosave_slot_count,balance_root,config,64,balance_config_format_02
autosave_on_commute_in_enter,bool,true,balance,balance_autosave_on_commute_in_enter,balance_root,config,65,balance_config_format_04
autosave_on_bar_enter,bool,true,balance,balance_autosave_on_bar_enter,balance_root,config,66,balance_config_format_04
autosave_on_part2_start,bool,true,balance,balance_autosave_on_part2_start,balance_root,config,67,balance_config_format_04
autosave_on_daily_sales_settlement_complete,bool,true,balance,balance_autosave_on_daily_sales_settlement_complete,balance_root,config,68,balance_config_format_04
commute_in_resume_spot_id,str,home_door,balance,balance_commute_in_resume_spot_id,balance_root,config,69,balance_config_format_01
