choice_group,dataset_id,row_id,parent_id,parent_field,source_order,template_id
ch_d2_aili_lady,script/bar/day1,choice_group_ch_d2_aili_lady,script_bar_day1,choices,0,bar_choice_groups_format_01
ch_t99_back,script/bar/day99,choice_group_ch_t99_back,script_bar_day99,choices,0,bar_choice_groups_format_01
ch_t99_back2,script/bar/day99,choice_group_ch_t99_back2,script_bar_day99,choices,1,bar_choice_groups_format_01
ch_t99_back3,script/bar/day99,choice_group_ch_t99_back3,script_bar_day99,choices,2,bar_choice_groups_format_01
ch_t99_back4,script/bar/day99,choice_group_ch_t99_back4,script_bar_day99,choices,3,bar_choice_groups_format_01
ch_t99_back5,script/bar/day99,choice_group_ch_t99_back5,script_bar_day99,choices,4,bar_choice_groups_format_01
ch_t99_bar,script/bar/day99,choice_group_ch_t99_bar,script_bar_day99,choices,5,bar_choice_groups_format_01
ch_t99_bar_back,script/bar/day99,choice_group_ch_t99_bar_back,script_bar_day99,choices,6,bar_choice_groups_format_01
ch_t99_bar_back2,script/bar/day99,choice_group_ch_t99_bar_back2,script_bar_day99,choices,7,bar_choice_groups_format_01
ch_t99_bar_back3,script/bar/day99,choice_group_ch_t99_bar_back3,script_bar_day99,choices,8,bar_choice_groups_format_01
ch_t99_branch,script/bar/day99,choice_group_ch_t99_branch,script_bar_day99,choices,9,bar_choice_groups_format_01
ch_t99_main,script/bar/day99,choice_group_ch_t99_main,script_bar_day99,choices,10,bar_choice_groups_format_01
ch_t99_stage,script/bar/day99,choice_group_ch_t99_stage,script_bar_day99,choices,11,bar_choice_groups_format_01
ch_d1_home,script/home,choice_group_ch_d1_home,script_home,choices,0,bar_choice_groups_format_01
ch_d3_home,script/home,choice_group_ch_d3_home,script_home,choices,1,bar_choice_groups_format_01
