id,day,seq,phase,trigger,when,title,skippable,group,dataset_id,row_id,parent_id,parent_field,source_order,template_id
d1_tutorial_chris,0,1,bar,auto,\N,0일차 바 튜토리얼 — 크리스 진토닉 강습과 포트 진피즈 주문 (구 day0_chris·d0c_end·d1_port),false,\N,script/bar/day0,scene_d1_tutorial_chris,script_bar_day0,scenes,0,scenes_format_01
d2_bar_open,1,1,bar_open,auto,\N,"개점 전 — 크리스의 확인, OPEN 간판을 걸기까지",false,\N,script/bar/day1,scene_d2_bar_open,script_bar_day1,scenes,0,scenes_format_01
d2_aili_lady_q,1,0,bar,manual,\N,분기 — 섹시한 레이디란 무엇인가,false,\N,script/bar/day1,scene_d2_aili_lady_q,script_bar_day1,scenes,1,scenes_format_01
d2_open,1,1,bar,auto,\N,개점 — 크리스와 교대 전 당부,false,\N,script/bar/day1,scene_d2_open,script_bar_day1,scenes,2,scenes_format_01
d2_port,1,2,bar,auto,\N,"포트 첫 방문 — 진피즈, 조니 이야기, 부비 배달",false,\N,script/bar/day1,scene_d2_port,script_bar_day1,scenes,3,scenes_format_01
d2_aili,1,3,bar,auto,\N,아일리 등장 — 박스 위의 레이디,false,\N,script/bar/day1,scene_d2_aili,script_bar_day1,scenes,4,scenes_format_01
d2_aili_craft,1,4,bar,auto,\N,아일리 주문 — 그리고 부비의 한 잔,false,\N,script/bar/day1,scene_d2_aili_craft,script_bar_day1,scenes,5,scenes_format_01
d2_close,1,5,bar,auto,\N,마감 — 크리스 교대,false,\N,script/bar/day1,scene_d2_close,script_bar_day1,scenes,6,scenes_format_01
t99_open,99,1,bar_open,auto,\N,테스트 허브 — 개점(대사·분기·연출·1부 진입),false,\N,script/bar/day99,scene_t99_open,script_bar_day99,scenes,0,scenes_format_01
t99_dialogue,99,2,bar_open,manual,\N,테스트 — 대사·표정·태그·읽음 스킵,false,\N,script/bar/day99,scene_t99_dialogue,script_bar_day99,scenes,1,scenes_format_01
t99_branch_menu,99,3,bar_open,manual,\N,테스트 — 분기·효과 메뉴,false,\N,script/bar/day99,scene_t99_branch_menu,script_bar_day99,scenes,2,scenes_format_01
t99_flag_test,99,4,bar_open,manual,\N,테스트 — 플래그 심고 when 분기,false,\N,script/bar/day99,scene_t99_flag_test,script_bar_day99,scenes,3,scenes_format_01
t99_effect_check,99,5,bar_open,manual,\N,테스트 — 효과 적용 확인,false,\N,script/bar/day99,scene_t99_effect_check,script_bar_day99,scenes,4,scenes_format_01
t99_stage_menu,99,6,bar_open,manual,\N,테스트 — 좌석·연출 메뉴,false,\N,script/bar/day99,scene_t99_stage_menu,script_bar_day99,scenes,5,scenes_format_01
t99_seats,99,7,bar_open,manual,\N,테스트 — 좌석 등장·퇴장·카메라 전환,false,\N,script/bar/day99,scene_t99_seats,script_bar_day99,scenes,6,scenes_format_01
t99_fxsfx,99,8,bar_open,manual,\N,테스트 — fx·sfx,false,\N,script/bar/day99,scene_t99_fxsfx,script_bar_day99,scenes,7,scenes_format_01
