day,place,dataset_id,row_id,parent_id,parent_field,source_order,template_id
\N,bar,script/bar/day0,script_bar_day0,@script/bar/day0,\N,0,script_files_format_01
\N,bar,script/bar/day1,script_bar_day1,@script/bar/day1,\N,0,script_files_format_01
\N,bar,script/bar/day2,script_bar_day2,@script/bar/day2,\N,0,script_files_format_01
\N,bar,script/bar/day3,script_bar_day3,@script/bar/day3,\N,0,script_files_format_01
\N,bar,script/bar/day99,script_bar_day99,@script/bar/day99,\N,0,script_files_format_01
0,\N,script/common,script_common,@script/common,\N,0,script_files_format_02
\N,cutscene,script/cutscene,script_cutscene,@script/cutscene,\N,0,script_files_format_01
\N,home,script/home,script_home,@script/home,\N,0,script_files_format_01
\N,street,script/qa/street_day99,script_qa_street_day99,@script/qa/street_day99,\N,0,script_files_format_03
\N,street,script/street,script_street,@script/street,\N,0,script_files_format_03
