template_id,node_id,parent_node,field,field_order,kind,column,type,table,slot,container,key_column,parent,row_id,map_key,owner
balance_config_format_01,0,,,0,cell,value,str,,,,,,,setting,BalanceConfig
balance_config_format_02,0,,,0,cell,value,int,,,,,,,setting,BalanceConfig
balance_config_format_03,0,,,0,cell,value,float,,,,,,,setting,BalanceConfig
balance_config_format_04,0,,,0,cell,value,bool,,,,,,,setting,BalanceConfig
grade_cuts_format_01,0,,,0,object,,,,,,,,,,GradeCuts
grade_cuts_format_01,0.0,0,grade,0,cell,grade,str,,,,,,,,
grade_cuts_format_01,0.1,0,min_pct,1,cell,min_pct,int,,,,,,,,
settlement_rules_format_01,0,,,0,object,,,,,,,,,setting,SettlementRules
settlement_rules_format_01,0.0,0,sale_rate,0,cell,sale_rate,float,,,,,,,,
settlement_rules_format_01,0.1,0,tip_rate,1,cell,tip_rate,float,,,,,,,,
settlement_rules_format_01,0.2,0,refund_rate,2,cell,refund_rate,float,,,,,,,,
score_bands_format_01,0,,,0,object,,,,,,,,,,ScoreBands
score_bands_format_01,0.0,0,band_type,0,cell,band_type,str,,,,,,,,
score_bands_format_01,0.1,0,min_ratio,1,cell,min_ratio,float,,,,,,,,
score_bands_format_01,0.2,0,max_ratio,2,cell,max_ratio,float,,,,,,,,
score_bands_format_01,0.3,0,min_inclusive,3,cell,min_inclusive,bool,,,,,,,,
score_bands_format_01,0.4,0,max_inclusive,4,cell,max_inclusive,bool,,,,,,,,
score_bands_format_01,0.5,0,score_or_penalty,5,cell,score_or_penalty,int,,,,,,,,
score_bands_format_02,0,,,0,object,,,,,,,,,,ScoreBands
score_bands_format_02,0.0,0,band_type,0,cell,band_type,str,,,,,,,,
score_bands_format_02,0.1,0,min_ratio,1,cell,min_ratio,float,,,,,,,,
score_bands_format_02,0.2,0,max_ratio,2,cell,max_ratio,NoneType,,,,,,,,
score_bands_format_02,0.3,0,min_inclusive,3,cell,min_inclusive,bool,,,,,,,,
score_bands_format_02,0.4,0,max_inclusive,4,cell,max_inclusive,bool,,,,,,,,
score_bands_format_02,0.5,0,score_or_penalty,5,cell,score_or_penalty,int,,,,,,,,
affinity_matrix_format_01,0,,,0,object,,,,,,,,,,AffinityMatrix
affinity_matrix_format_01,0.0,0,taste_tier,0,cell,taste_tier,str,,,,,,,,
affinity_matrix_format_01,0.1,0,excellent,1,cell,excellent,int,,,,,,,,
affinity_matrix_format_01,0.2,0,good,2,cell,good,int,,,,,,,,
affinity_matrix_format_01,0.3,0,decent,3,cell,decent,int,,,,,,,,
affinity_matrix_format_01,0.4,0,poor,4,cell,poor,int,,,,,,,,
affinity_matrix_format_01,0.5,0,sewage,5,cell,sewage,int,,,,,,,,
balance_root_format_01,0,,,0,object,,,,,,,,,,BalanceRoot
balance_root_format_01,0.0,0,config,0,children,,,BalanceConfig,config,dict,setting,,,,
balance_root_format_01,0.1,0,grade_cuts,1,children,,,GradeCuts,grade_cuts,list,,,,,
balance_root_format_01,0.2,0,settlement_rules,2,children,,,SettlementRules,settlement_rules,dict,setting,,,,
balance_root_format_01,0.3,0,score_bands,3,children,,,ScoreBands,score_bands,list,,,,,
balance_root_format_01,0.4,0,affinity_matrix,4,children,,,AffinityMatrix,affinity_matrix,list,,,,,
bark_situations_format_01,0,,,0,object,,,,,,,,,situation,BarkSituations
bark_situations_format_01,0.0,0,default_expression,0,cell,default_expression,str,,,,,,,,
barks_format_01,0,,,0,object,,,,,,,,,,Barks
barks_format_01,0.0,0,voice_id,0,cell,voice_id,str,,,,,,,,
barks_format_01,0.1,0,expression,1,cell,expression,NoneType,,,,,,,,
barks_format_01,0.2,0,situation,2,cell,situation,str,,,,,,,,
barks_format_01,0.3,0,text,3,object,,,,,,,,,,
barks_format_01,0.3.0,0.3,ko,0,cell,text.ko,str,,,,,,,,
barks_format_01,0.3.1,0.3,en,1,cell,text.en,str,,,,,,,,
barks_format_01,0.4,0,weight,4,cell,weight,int,,,,,,,,
barks_format_02,0,,,0,object,,,,,,,,,,Barks
barks_format_02,0.0,0,voice_id,0,cell,voice_id,NoneType,,,,,,,,
barks_format_02,0.1,0,expression,1,cell,expression,NoneType,,,,,,,,
barks_format_02,0.2,0,situation,2,cell,situation,str,,,,,,,,
barks_format_02,0.3,0,text,3,object,,,,,,,,,,
barks_format_02,0.3.0,0.3,ko,0,cell,text.ko,str,,,,,,,,
barks_format_02,0.3.1,0.3,en,1,cell,text.en,str,,,,,,,,
barks_format_02,0.4,0,weight,4,cell,weight,int,,,,,,,,
barks_format_03,0,,,0,object,,,,,,,,,,Barks
barks_format_03,0.0,0,voice_id,0,cell,voice_id,NoneType,,,,,,,,
barks_format_03,0.1,0,expression,1,cell,expression,str,,,,,,,,
barks_format_03,0.2,0,situation,2,cell,situation,str,,,,,,,,
barks_format_03,0.3,0,text,3,object,,,,,,,,,,
barks_format_03,0.3.0,0.3,ko,0,cell,text.ko,str,,,,,,,,
barks_format_03,0.3.1,0.3,en,1,cell,text.en,str,,,,,,,,
barks_format_03,0.4,0,weight,4,cell,weight,int,,,,,,,,
barks_format_04,0,,,0,object,,,,,,,,,,Barks
barks_format_04,0.0,0,voice_id,0,cell,voice_id,str,,,,,,,,
barks_format_04,0.1,0,expression,1,cell,expression,str,,,,,,,,
barks_format_04,0.2,0,situation,2,cell,situation,str,,,,,,,,
barks_format_04,0.3,0,text,3,object,,,,,,,,,,
barks_format_04,0.3.0,0.3,ko,0,cell,text.ko,str,,,,,,,,
barks_format_04,0.3.1,0.3,en,1,cell,text.en,str,,,,,,,,
barks_format_04,0.4,0,weight,4,cell,weight,int,,,,,,,,
expression_parts_format_01,0,,,0,object,,,,,,,,,part,ExpressionParts
expression_parts_format_01,0.0,0,clip,0,cell,clip,str,,,,,,,,
expression_parts_format_01,0.1,0,loop,1,cell,loop,str,,,,,,,,
expressions_format_01,0,,,0,object,,,,,,,,,expression,Expressions
expressions_format_01,0.0,0,mode,0,cell,mode,str,,,,,,,,
expressions_format_01,0.1,0,sprite,1,cell,sprite,NoneType,,,,,,,,
expressions_format_01,0.2,0,talk_anim,2,cell,talk_anim,bool,,,,,,,,
expressions_format_01,0.3,0,parts,3,children,,,ExpressionParts,parts,dict,part,,,,
animation_characters_format_01,0,,,0,children,,,Expressions,value,dict,expression,,,character,AnimationCharacters
expressions_format_02,0,,,0,object,,,,,,,,,expression,Expressions
expressions_format_02,0.0,0,mode,0,cell,mode,str,,,,,,,,
expressions_format_02,0.1,0,sprite,1,cell,sprite,str,,,,,,,,
expressions_format_02,0.2,0,talk_anim,2,cell,talk_anim,bool,,,,,,,,
expressions_format_02,0.3,0,parts,3,cell,parts,NoneType,,,,,,,,
character_expressions_format_01,0,,,0,cell,value,str,,,,,,,,CharacterExpressions
characters_format_01,0,,,0,object,,,,,,,,,,Characters
characters_format_01,0.0,0,id,0,cell,id,str,,,,,,,,
characters_format_01,0.1,0,name,1,object,,,,,,,,,,
characters_format_01,0.1.0,0.1,ko,0,cell,name.ko,str,,,,,,,,
characters_format_01,0.1.1,0.1,en,1,cell,name.en,str,,,,,,,,
characters_format_01,0.2,0,name_color,2,cell,name_color,str,,,,,,,,
characters_format_01,0.3,0,role,3,cell,role,str,,,,,,,,
characters_format_01,0.4,0,affinity,4,cell,affinity,bool,,,,,,,,
characters_format_01,0.5,0,alive_flag,5,cell,alive_flag,NoneType,,,,,,,,
characters_format_01,0.6,0,expressions,6,children,,,CharacterExpressions,expressions,list,,,,,
characters_format_01,0.7,0,base_body,7,cell,base_body,str,,,,,,,,
characters_format_01,0.8,0,enter_sfx,8,cell,enter_sfx,NoneType,,,,,,,,
characters_format_01,0.9,0,exit_sfx,9,cell,exit_sfx,NoneType,,,,,,,,
characters_format_02,0,,,0,object,,,,,,,,,,Characters
characters_format_02,0.0,0,id,0,cell,id,str,,,,,,,,
characters_format_02,0.1,0,name,1,object,,,,,,,,,,
characters_format_02,0.1.0,0.1,ko,0,cell,name.ko,str,,,,,,,,
characters_format_02,0.1.1,0.1,en,1,cell,name.en,str,,,,,,,,
characters_format_02,0.2,0,name_color,2,cell,name_color,str,,,,,,,,
characters_format_02,0.3,0,role,3,cell,role,str,,,,,,,,
characters_format_02,0.4,0,affinity,4,cell,affinity,bool,,,,,,,,
characters_format_02,0.5,0,alive_flag,5,cell,alive_flag,NoneType,,,,,,,,
characters_format_02,0.6,0,expressions,6,children,,,CharacterExpressions,expressions,list,,,,,
characters_format_02,0.7,0,base_body,7,cell,base_body,str,,,,,,,,
characters_format_02,0.8,0,enter_sfx,8,cell,enter_sfx,str,,,,,,,,
characters_format_02,0.9,0,exit_sfx,9,cell,exit_sfx,str,,,,,,,,
characters_format_03,0,,,0,object,,,,,,,,,,Characters
characters_format_03,0.0,0,id,0,cell,id,str,,,,,,,,
characters_format_03,0.1,0,name,1,object,,,,,,,,,,
characters_format_03,0.1.0,0.1,ko,0,cell,name.ko,str,,,,,,,,
characters_format_03,0.1.1,0.1,en,1,cell,name.en,str,,,,,,,,
characters_format_03,0.2,0,name_color,2,cell,name_color,str,,,,,,,,
characters_format_03,0.3,0,role,3,cell,role,str,,,,,,,,
characters_format_03,0.4,0,affinity,4,cell,affinity,bool,,,,,,,,
characters_format_03,0.5,0,alive_flag,5,cell,alive_flag,NoneType,,,,,,,,
characters_format_03,0.6,0,expressions,6,children,,,CharacterExpressions,expressions,list,,,,,
characters_format_03,0.7,0,base_body,7,cell,base_body,NoneType,,,,,,,,
characters_format_03,0.8,0,enter_sfx,8,cell,enter_sfx,str,,,,,,,,
characters_format_03,0.9,0,exit_sfx,9,cell,exit_sfx,str,,,,,,,,
characters_format_04,0,,,0,object,,,,,,,,,,Characters
characters_format_04,0.0,0,id,0,cell,id,str,,,,,,,,
characters_format_04,0.1,0,name,1,object,,,,,,,,,,
characters_format_04,0.1.0,0.1,ko,0,cell,name.ko,str,,,,,,,,
characters_format_04,0.1.1,0.1,en,1,cell,name.en,str,,,,,,,,
characters_format_04,0.2,0,name_color,2,cell,name_color,str,,,,,,,,
characters_format_04,0.3,0,role,3,cell,role,str,,,,,,,,
characters_format_04,0.4,0,affinity,4,cell,affinity,bool,,,,,,,,
characters_format_04,0.5,0,alive_flag,5,cell,alive_flag,str,,,,,,,,
characters_format_04,0.6,0,expressions,6,children,,,CharacterExpressions,expressions,list,,,,,
characters_format_04,0.7,0,base_body,7,cell,base_body,str,,,,,,,,
characters_format_04,0.8,0,enter_sfx,8,cell,enter_sfx,str,,,,,,,,
characters_format_04,0.9,0,exit_sfx,9,cell,exit_sfx,str,,,,,,,,
characters_format_05,0,,,0,object,,,,,,,,,,Characters
characters_format_05,0.0,0,id,0,cell,id,str,,,,,,,,
characters_format_05,0.1,0,name,1,object,,,,,,,,,,
characters_format_05,0.1.0,0.1,ko,0,cell,name.ko,str,,,,,,,,
characters_format_05,0.1.1,0.1,en,1,cell,name.en,str,,,,,,,,
characters_format_05,0.2,0,name_color,2,cell,name_color,str,,,,,,,,
characters_format_05,0.3,0,role,3,cell,role,str,,,,,,,,
characters_format_05,0.4,0,affinity,4,cell,affinity,bool,,,,,,,,
characters_format_05,0.5,0,alive_flag,5,cell,alive_flag,str,,,,,,,,
characters_format_05,0.6,0,expressions,6,children,,,CharacterExpressions,expressions,list,,,,,
characters_format_05,0.7,0,base_body,7,cell,base_body,NoneType,,,,,,,,
characters_format_05,0.8,0,enter_sfx,8,cell,enter_sfx,str,,,,,,,,
characters_format_05,0.9,0,exit_sfx,9,cell,exit_sfx,str,,,,,,,,
characters_format_06,0,,,0,object,,,,,,,,,,Characters
characters_format_06,0.0,0,id,0,cell,id,str,,,,,,,,
characters_format_06,0.1,0,name,1,object,,,,,,,,,,
characters_format_06,0.1.0,0.1,ko,0,cell,name.ko,str,,,,,,,,
characters_format_06,0.1.1,0.1,en,1,cell,name.en,str,,,,,,,,
