table,column,column_order,types
BalanceConfig,setting,0,str
BalanceConfig,value_type,1,str
BalanceConfig,value,2,bool|float|int|str
BalanceConfig,dataset_id,3,str
BalanceConfig,row_id,4,str
BalanceConfig,parent_id,5,str
BalanceConfig,parent_field,6,str
BalanceConfig,source_order,7,int
BalanceConfig,template_id,8,str
GradeCuts,grade,0,str
GradeCuts,min_pct,1,int
GradeCuts,dataset_id,2,str
GradeCuts,row_id,3,str
GradeCuts,parent_id,4,str
GradeCuts,parent_field,5,str
GradeCuts,source_order,6,int
GradeCuts,template_id,7,str
SettlementRules,setting,0,str
SettlementRules,value_type,1,str
SettlementRules,sale_rate,2,float
SettlementRules,tip_rate,3,float
SettlementRules,refund_rate,4,float
SettlementRules,dataset_id,5,str
SettlementRules,row_id,6,str
SettlementRules,parent_id,7,str
SettlementRules,parent_field,8,str
SettlementRules,source_order,9,int
SettlementRules,template_id,10,str
ScoreBands,band_type,0,str
ScoreBands,min_ratio,1,float
ScoreBands,max_ratio,2,float
ScoreBands,min_inclusive,3,bool
ScoreBands,max_inclusive,4,bool
ScoreBands,score_or_penalty,5,int
ScoreBands,dataset_id,6,str
ScoreBands,row_id,7,str
ScoreBands,parent_id,8,str
ScoreBands,parent_field,9,str
ScoreBands,source_order,10,int
ScoreBands,template_id,11,str
AffinityMatrix,taste_tier,0,str
AffinityMatrix,excellent,1,int
AffinityMatrix,good,2,int
AffinityMatrix,decent,3,int
AffinityMatrix,poor,4,int
AffinityMatrix,sewage,5,int
AffinityMatrix,dataset_id,6,str
AffinityMatrix,row_id,7,str
AffinityMatrix,parent_id,8,str
AffinityMatrix,parent_field,9,str
AffinityMatrix,source_order,10,int
AffinityMatrix,template_id,11,str
BarkSituations,situation,0,str
BarkSituations,default_expression,1,str
BarkSituations,dataset_id,2,str
BarkSituations,row_id,3,str
BarkSituations,parent_id,4,str
BarkSituations,parent_field,5,str
BarkSituations,source_order,6,int
BarkSituations,template_id,7,str
Barks,expression,0,str
Barks,text.ko,1,str
Barks,text.en,2,str
Barks,voice_id,3,str
Barks,situation,4,str
Barks,weight,5,int
Barks,dataset_id,6,str
Barks,row_id,7,str
Barks,parent_id,8,str
Barks,parent_field,9,str
Barks,source_order,10,int
Barks,template_id,11,str
AnimationCharacters,character,0,str
AnimationCharacters,dataset_id,1,str
AnimationCharacters,row_id,2,str
AnimationCharacters,parent_id,3,str
AnimationCharacters,parent_field,4,str
AnimationCharacters,source_order,5,int
AnimationCharacters,template_id,6,str
Expressions,context,0,str
Expressions,expression,1,str
Expressions,mode,2,str
Expressions,sprite,3,str
Expressions,talk_anim,4,bool
Expressions,dataset_id,5,str
Expressions,row_id,6,str
Expressions,parent_id,7,str
Expressions,parent_field,8,str
Expressions,source_order,9,int
Expressions,template_id,10,str
ExpressionParts,context,0,str
ExpressionParts,part,1,str
ExpressionParts,clip,2,str
ExpressionParts,loop,3,str
ExpressionParts,dataset_id,4,str
ExpressionParts,row_id,5,str
ExpressionParts,parent_id,6,str
ExpressionParts,parent_field,7,str
ExpressionParts,source_order,8,int
ExpressionParts,template_id,9,str
Characters,id,0,str
Characters,name.ko,1,str
Characters,name.en,2,str
Characters,name_color,3,str
Characters,role,4,str
Characters,affinity,5,bool
Characters,alive_flag,6,str
Characters,base_body,7,str
Characters,enter_sfx,8,str
Characters,exit_sfx,9,str
Characters,dataset_id,10,str
Characters,row_id,11,str
Characters,parent_id,12,str
Characters,parent_field,13,str
Characters,source_order,14,int
Characters,template_id,15,str
CharacterExpressions,context,0,str
CharacterExpressions,value,1,str
CharacterExpressions,dataset_id,2,str
CharacterExpressions,row_id,3,str
CharacterExpressions,parent_id,4,str
CharacterExpressions,parent_field,5,str
CharacterExpressions,source_order,6,int
CharacterExpressions,template_id,7,str
Cocktails,id,0,str
Cocktails,name.ko,1,str
Cocktails,name.en,2,str
Cocktails,status,3,str
Cocktails,price,4,int
Cocktails,abv,5,float
Cocktails,glass,6,str
Cocktails,target_mix_method,7,str
Cocktails,target_prep_action,8,str
Cocktails,mix,9,str
Cocktails,prep,10,str
Cocktails,garnish,11,str
Cocktails,color,12,str
Cocktails,color2,13,str
Cocktails,mixing_ice,14,str
Cocktails,serving_ice,15,str
Cocktails,flavor.ko,16,str
Cocktails,flavor.en,17,str
Cocktails,recipe_desc.ko,18,str
Cocktails,recipe_desc.en,19,str
Cocktails,unlock_day,20,int
Cocktails,unlock_when,21,str
Cocktails,time_limit_sec,22,int
Cocktails,sprite,23,str
Cocktails,serve_sprite,24,str
Cocktails,dataset_id,25,str
Cocktails,row_id,26,str
Cocktails,parent_id,27,str
Cocktails,parent_field,28,str
Cocktails,source_order,29,int
Cocktails,template_id,30,str
CocktailTags,context,0,str
CocktailTags,id,1,str
CocktailTags,ko,2,str
CocktailTags,en,3,str
CocktailTags,category,4,str
CocktailTags,dataset_id,5,str
CocktailTags,row_id,6,str
CocktailTags,parent_id,7,str
CocktailTags,parent_field,8,str
CocktailTags,source_order,9,int
CocktailTags,template_id,10,str
Recipes,context,0,str
Recipes,action,1,str
Recipes,ingredient,2,str
Recipes,qty,3,float|int
Recipes,unit,4,str
Recipes,is_core,5,bool
Recipes,scored,6,bool
Recipes,auto_apply,7,bool
Recipes,dataset_id,8,str
Recipes,row_id,9,str
Recipes,parent_id,10,str
Recipes,parent_field,11,str
Recipes,source_order,12,int
Recipes,template_id,13,str
Cutscenes,id,0,str
Cutscenes,kind,1,str
Cutscenes,resource_key,2,str
Cutscenes,note,3,str
Cutscenes,dataset_id,4,str
Cutscenes,row_id,5,str
Cutscenes,parent_id,6,str
Cutscenes,parent_field,7,str
Cutscenes,source_order,8,int
Cutscenes,template_id,9,str
Days,day,0,int
Days,start_phase,1,str
Days,bgm_street,2,str
Days,bgm_bar,3,str
Days,upkeep_gold,4,int
Days,note,5,str
Days,label.ko,6,str
Days,label.en,7,str
Days,dataset_id,8,str
Days,row_id,9,str
Days,parent_id,10,str
Days,parent_field,11,str
Days,source_order,12,int
Days,template_id,13,str
Dossier,character_id,0,str
Dossier,text.ko,1,str
Dossier,text.en,2,str
Dossier,min_affinity,3,int
Dossier,kind,4,str
Dossier,when,5,str
Dossier,dataset_id,6,str
Dossier,row_id,7,str
Dossier,parent_id,8,str
Dossier,parent_field,9,str
Dossier,source_order,10,int
Dossier,template_id,11,str
Endings,id,0,str
Endings,priority,1,int
Endings,when,2,str
Endings,scene_id,3,str
Endings,note,4,str
Endings,dataset_id,5,str
Endings,row_id,6,str
Endings,parent_id,7,str
Endings,parent_field,8,str
Endings,source_order,9,int
Endings,template_id,10,str
FieldAnimations,character_id,0,str
FieldAnimations,action,1,str
FieldAnimations,resource_key,2,str
FieldAnimations,status,3,str
FieldAnimations,note,4,str
FieldAnimations,dataset_id,5,str
FieldAnimations,row_id,6,str
FieldAnimations,parent_id,7,str
FieldAnimations,parent_field,8,str
FieldAnimations,source_order,9,int
FieldAnimations,template_id,10,str
GuestSettings,defaults.m.body,0,str
GuestSettings,defaults.m.outfit,1,str
GuestSettings,defaults.m.eyes,2,str
GuestSettings,defaults.m.eyebrows,3,str
GuestSettings,defaults.m.mouth,4,str
GuestSettings,defaults.m.hair,5,str
GuestSettings,defaults.m.outerwear,6,str
GuestSettings,defaults.m.necklace,7,str
GuestSettings,defaults.m.arm_accessory,8,str
GuestSettings,defaults.f.body,9,str
GuestSettings,defaults.f.outfit,10,str
GuestSettings,defaults.f.eyes,11,str
GuestSettings,defaults.f.eyebrows,12,str
GuestSettings,defaults.f.mouth,13,str
GuestSettings,defaults.f.hair,14,str
GuestSettings,defaults.f.outerwear,15,str
GuestSettings,defaults.f.necklace,16,str
GuestSettings,defaults.f.arm_accessory,17,str
GuestSettings,dataset_id,18,str
GuestSettings,row_id,19,str
GuestSettings,parent_id,20,str
GuestSettings,parent_field,21,str
GuestSettings,source_order,22,int
GuestSettings,template_id,23,str
GuestParts,id,0,str
GuestParts,gender,1,str
GuestParts,mode,2,str
GuestParts,sprite,3,str
GuestParts,emotions,4,str
GuestParts,parts,5,str
GuestParts,weight,6,int
GuestParts,dataset_id,7,str
GuestParts,row_id,8,str
GuestParts,parent_id,9,str
GuestParts,parent_field,10,str
GuestParts,source_order,11,int
GuestParts,template_id,12,str
GuestPersonalities,value,0,str
GuestPersonalities,dataset_id,1,str
GuestPersonalities,row_id,2,str
GuestPersonalities,parent_id,3,str
GuestPersonalities,parent_field,4,str
GuestPersonalities,source_order,5,str
GuestPersonalities,template_id,6,str
GuestExclusions,a,0,str
GuestExclusions,b,1,str
GuestExclusions,dataset_id,2,str
GuestExclusions,row_id,3,str
GuestExclusions,parent_id,4,str
GuestExclusions,parent_field,5,str
GuestExclusions,source_order,6,int
GuestExclusions,template_id,7,str
InteractPoints,id,0,str
InteractPoints,kind,1,str
InteractPoints,source_id,2,str
InteractPoints,spot_id,3,str
InteractPoints,facing,4,str
InteractPoints,phase,5,str
InteractPoints,spawn_when,6,str
InteractPoints,activation_mode,7,str
InteractPoints,interact_when,8,str
InteractPoints,priority,9,int
InteractPoints,action_type,10,str
InteractPoints,action_ref,11,str
InteractPoints,note,12,str
InteractPoints,dataset_id,13,str
InteractPoints,row_id,14,str
InteractPoints,parent_id,15,str
InteractPoints,parent_field,16,str
InteractPoints,source_order,17,int
InteractPoints,template_id,18,str
DialogueFlows,context,0,str
DialogueFlows,day,1,int
DialogueFlows,scene_id,2,str
DialogueFlows,flow_seq,3,int
DialogueFlows,play_type,4,str
DialogueFlows,when,5,str
DialogueFlows,dataset_id,6,str
DialogueFlows,row_id,7,str
DialogueFlows,parent_id,8,str
DialogueFlows,parent_field,9,str
DialogueFlows,source_order,10,int
DialogueFlows,template_id,11,str
OrderRules,seq,0,int
OrderRules,order_id,1,str
OrderRules,when,2,str
OrderRules,verdict,3,str
OrderRules,effects,4,str
OrderRules,react,5,str
OrderRules,note,6,str
OrderRules,dataset_id,7,str
OrderRules,row_id,8,str
OrderRules,parent_id,9,str
OrderRules,parent_field,10,str
OrderRules,source_order,11,int
OrderRules,template_id,12,str
Personalities,id,0,str
Personalities,name.ko,1,str
Personalities,name.en,2,str
Personalities,tip_mult,3,float
Personalities,patience_mult,4,float
Personalities,think_chance,5,float
Personalities,dataset_id,6,str
Personalities,row_id,7,str
Personalities,parent_id,8,str
Personalities,parent_field,9,str
