dataset_id,book,template_id,sha256
balance,Game,dataset_balance,5daac32433f00d39e9388c276de85a1ad99382fb3c981c5cbaa0a33f09d44e70
bark_situations,Game,dataset_bark_situations,c294980642222d3a8a286bdb43d4231ec18d892af5c71d30ee82abeec61131de
barks,Game,dataset_barks,8477bc1e97198636c689e3ee2013d3b011b32f6ae67510bcd3905d640cbaefd0
character_anim,C,dataset_character_anim,a76e2f1b6f81e49ee5c8d752a6479237b360daf7c3253af96e75ddb267441407
characters,C,dataset_characters,07fc6d7fcfe98da5c405e765bc18c5712c5fa763a9cf88c9d4d429c4a36425dd
cocktails,Game,dataset_cocktails,3ce935a1309bc7e820fe38e9cd1f925dd35129296581bb171ff0e879ce8a91d0
cutscenes,C,dataset_cutscenes,e8dbaf5d038eab5effb52dcc6b4fb8465c78f257d6115494a5690437390d50e1
days,Game,dataset_days,365e25fc79218690bfb30136404cd13dc46df1524ff00532b4c6f7d9c40c0e5f
dossier,C,dataset_dossier,e84aa96947f10541aa0a612c9355cb4138a11f4d7991f0fbf9ffa55d688a71ad
endings,Game,dataset_endings,a533b67b54333fc309efd0c2b2fb605ee85dc8cfef94b0721166bdcbef8d56d8
expressions,C,dataset_expressions,f112d0d10cd28f00a10fd14a8109d53255a958d5ae395395702624493ce4ad80
field_anims,C,dataset_field_anims,e4188cd1c6de4a0be3f396b7d9a6139637d70ca8d2e97dc2adf61e1b5890ce94
guest_bodies,Game,dataset_guest_bodies,1ea4bef16d6426bd163b7fed5f84667caddbbaf7a21acd2004c29789cbf9377f
interact_points_home,C,dataset_interact_points_home,3e1094a25592c9f0d5e2a92bb8e7ab80d6f22853f6bf732ce01c5f383798c898
interact_points_outside,C,dataset_interact_points_outside,c48b4a56ec53e8dc4db883b15f79ae8a448a1ceae1ae32e4fa3a075c244e43bd
order_rules,Game,dataset_order_rules,b945576013a6a29e9206fd20326bd6b9dd2f38f42cb1b7b787db5ee7d445b93a
personalities,Game,dataset_personalities,911e6e7f982ed65fd820bf155fd792943dc133265d35bc94f9e88e127c28a5e8
qa/interact_points_day99,C,dataset_qa_interact_points_day99,f6c615aa90a61ecf00c74b9e1404b690bb21f4203b38668d2e739c30d6f8f14b
quests,Game,dataset_quests,4e27bfc6e8adbde7a2d68b7d382d8ccaf68522c374f0db98f3c414a639a01c60
random_waves,Game,dataset_random_waves,52b9b284dea3523412f2d227af9675833ede175ccfa54b513c2007d19287efc9
regular_slots,Game,dataset_regular_slots,ee1b5d45f7d3b829ebe30afe428be77b0de34a3d04c66924161d174da9aa6d56
script/bar/day0,C,dataset_script_bar_day0,2edfadaaa953c629eaeacfab1ecc76d24409bc4fb55f8227ce55e9c0681b160d
script/bar/day1,C,dataset_script_bar_day1,29ac3e8c2b4428202b9f80cee20ddf511639a8995aa7e2b72dbe53912a39fcc8
script/bar/day2,C,dataset_script_bar_day2,d7e05b1961c5c6d0198cf91aa9606cc588e857ba6cbab4b5cc828a9aff0e948e
script/bar/day3,C,dataset_script_bar_day3,4b8997026bc063bf7cef6a1e25b7d8d83fb6eded39293e963c822cc83a64d50e
script/bar/day99,C,dataset_script_bar_day99,2a23437f2faa016376e5a19e669125ea42a3cb42dbb4ba8620b1b0328b9ac191
script/common,C,dataset_script_common,8c3f481e7106ef12722d61232f685644faaa13f7c687cb611db12afee56f2f15
script/cutscene,C,dataset_script_cutscene,9d5192fa4da2eac1cd6b543824818ae6b62c77add1a36ecbdc4f4b5d4d5ab544
script/home,C,dataset_script_home,4c4b5d13b3e277322a42a63e44d66f067774d235d70f3c7f344185aff7170dfd
script/qa/street_day99,C,dataset_script_qa_street_day99,42f9502b321be71f9cdf2b2d9206b1edd2ab090ec2b774a39f357c792e11dbea
script/street,C,dataset_script_street,536fed09155d20859e4fef72fdc020e0c5dbc165fdf2125c8f24c528503d0214
shelf_items,Game,dataset_shelf_items,69622650fb99be0f02a9c86c96943831e53493fb0dc4af2261f3173d5c6b803d
spots,C,dataset_spots,e662713003bb2aa2c65d6f6a9b6131def3a5b202c6228dd4a997cc2ed0ebbda8
tastes,Game,dataset_tastes,d313bb0e92772d178d33f3bca4bc5d5b81b2cb8f5f031e2bb44fde75c0f00d97
text_tags,C,dataset_text_tags,df4689ce54b8dc8e60e326f1c2bb3e41bf5f72f697d7ea9c558465a92b6b21f0
transitions,Game,dataset_transitions,fbd96abcf2bceda6a1f6e7ed980b6a96429b53d36a9985ba2d70e51dfd56c888
ui_strings,Game,dataset_ui_strings,b2454a4e83e86fd10d5f7867e2a1c6761d7550403c9209bdddf655b2f7ad711c
